logFC	logCPM	F	PValue	status
SIN3A@08963	-4.503e+00	 3.898047	8.619e+00	0.0110329	test
SIN3A@11668	-3.459e+00	 5.371801	8.650e+00	0.0110518	test
SIN3A@05634	-6.610e+00	 2.676595	8.601e+00	0.0112328	test
SIN3A@07849	 3.328e+00	 7.311425	8.584e+00	0.0112959	test
SIN3A@03256	 9.107e+00	 6.438909	8.576e+00	0.0113255	test
SIN3A@01055	 7.108e+00	 4.159053	8.573e+00	0.0113385	test
SIN3A@07824	 3.878e+00	 6.409104	8.521e+00	0.0115346	test
SIN3A@03116	 7.046e+00	 5.642823	8.509e+00	0.0115832	test
SIN3A@02736	 9.318e+00	 2.835601	8.705e+00	0.0116400	test
SIN3A@00206	-6.939e+00	 2.459993	8.453e+00	0.0118035	test
SIN3A@11603	-4.778e+00	 3.676138	8.401e+00	0.0118701	test
SIN3A@11299	 6.013e+00	 4.921566	8.427e+00	0.0119058	test
SIN3A@05724	-2.553e+00	 6.268284	8.380e+00	0.0119537	test
SIN3A@01958	 3.742e+00	 6.144563	8.397e+00	0.0120262	test
SIN3A@07199	 7.550e+00	 4.594077	8.376e+00	0.0121108	test
SIN3A@08118	 9.213e+00	 2.734463	8.532e+00	0.0123075	test
SIN3A@02606	-6.811e+00	 0.787034	8.310e+00	0.0123850	test
SIN3A@01641	-5.009e+00	 3.822945	8.309e+00	0.0123906	test
SIN3A@07850	 2.152e+00	 8.685808	8.254e+00	0.0126200	test
SIN3A@06926	 9.256e+00	 2.775548	8.400e+00	0.0128443	test
SIN3A@03488	 7.732e+00	 4.176387	8.162e+00	0.0130239	test
SIN3A@00454	-4.447e+00	 4.042985	8.104e+00	0.0131360	test
SIN3A@11077	 7.569e+00	 5.547087	8.132e+00	0.0131576	test
SIN3A@04837	-6.670e+00	 0.671835	8.105e+00	0.0132784	test
SIN3A@06915	 3.896e+00	 6.543333	8.103e+00	0.0132878	test
SIN3A@08487	 1.143e+01	 4.914876	8.283e+00	0.0133469	test
SIN3A@00657	 4.035e+00	 5.568746	8.075e+00	0.0133683	test
SIN3A@06276	 6.768e+00	 4.835405	8.045e+00	0.0135536	test
SIN3A@07891	 3.624e+00	 7.139921	8.040e+00	0.0135803	test
SIN3A@07907	 4.035e+00	 5.918026	7.991e+00	0.0138095	test
SIN3A@08169	 3.051e+00	 8.109774	7.983e+00	0.0138450	test
SIN3A@03983	 5.311e+00	 5.498397	7.981e+00	0.0138576	test
SIN3A@04347	 1.118e+01	 4.667831	8.134e+00	0.0140197	test
SIN3A@11452	-5.558e+00	 3.409617	7.946e+00	0.0140234	test
SIN3A@05232	 6.420e+00	 5.720507	7.932e+00	0.0140913	test
SIN3A@12953	 7.951e+00	 4.990688	7.931e+00	0.0140983	test
SIN3A@05401	-3.245e+00	 5.641419	7.925e+00	0.0141271	test
SIN3A@06795	 1.057e+01	 4.062269	8.106e+00	0.0141498	test
SIN3A@08035	 4.652e+00	 5.368369	7.920e+00	0.0141533	test
SIN3A@07848	 1.990e+00	 8.903932	7.887e+00	0.0143157	test
SIN3A@04609	 5.599e+00	 6.713496	7.886e+00	0.0143185	test
SIN3A@00420	 6.002e+00	 4.770032	7.857e+00	0.0144630	test
SIN3A@03278	-4.327e+00	 3.846582	7.819e+00	0.0144980	test
SIN3A@09051	 4.812e+00	 5.082283	7.821e+00	0.0146470	test
SIN3A@10700	-5.576e+00	 2.724237	7.803e+00	0.0147346	test
SIN3A@07834	 3.029e+00	 7.338607	7.770e+00	0.0149097	test
SIN3A@04031	 6.304e+00	 4.296734	7.753e+00	0.0149977	test
SIN3A@02732	 3.899e+00	 5.827024	7.747e+00	0.0150259	test
SIN3A@14470	 2.865e+00	10.733456	7.734e+00	0.0150973	mCherry
SIN3A@00175	 6.524e+00	 5.333741	7.717e+00	0.0151841	test
SIN3A@10978	 5.130e+00	 4.448045	7.664e+00	0.0153123	test
SIN3A@05323	 3.461e+00	 6.302200	7.685e+00	0.0153556	test
SIN3A@07368	-3.996e+00	 4.082271	7.655e+00	0.0153583	test
SIN3A@08200	 2.688e+00	 7.164157	7.672e+00	0.0154276	test
SIN3A@08074	 3.617e+00	 6.577847	7.637e+00	0.0156182	test
SIN3A@09174	 1.014e+01	 3.637280	7.809e+00	0.0156318	test
SIN3A@09150	 3.670e+00	 5.909764	7.629e+00	0.0156590	test
SIN3A@08053	 2.856e+00	 7.502243	7.626e+00	0.0156803	test
SIN3A@11933	-4.417e+00	 3.720471	7.591e+00	0.0157106	test
SIN3A@07832	 4.937e+00	 6.841829	7.619e+00	0.0157141	test
SIN3A@12547	-3.121e+00	 5.504904	7.592e+00	0.0158676	test
SIN3A@01622	 7.223e+00	 5.021019	7.591e+00	0.0158737	test
SIN3A@13127	-5.164e+00	 3.249359	7.585e+00	0.0159060	test
SIN3A@07818	 2.106e+00	 7.943528	7.550e+00	0.0161059	test
SIN3A@00617	 9.306e+00	 2.823948	7.719e+00	0.0161139	test
SIN3A@02281	 8.138e+00	 2.885182	7.539e+00	0.0161662	test
SIN3A@12810	 6.596e+00	 4.494466	7.533e+00	0.0162030	test
SIN3A@10711	 1.070e+01	 4.190174	7.676e+00	0.0163524	test
SIN3A@02310	 7.590e+00	 1.209622	7.638e+00	0.0163744	test
SIN3A@07899	 3.827e+00	 6.717315	7.501e+00	0.0163873	test
SIN3A@08028	 3.246e+00	 7.168705	7.491e+00	0.0164457	test
SIN3A@00057	-2.482e+00	 6.292983	7.432e+00	0.0166263	test
SIN3A@14423	-3.785e+00	 4.354596	7.431e+00	0.0166310	negative
SIN3A@07386	 8.627e+00	 2.172314	7.624e+00	0.0166469	test
SIN3A@08335	 2.734e+00	 7.638018	7.442e+00	0.0167328	test
SIN3A@12948	 8.701e+00	 2.243779	7.606e+00	0.0167480	test
SIN3A@10987	 8.951e+00	 4.769653	7.420e+00	0.0168620	test
SIN3A@10836	 6.882e+00	 3.568759	7.395e+00	0.0169537	test
SIN3A@07921	 2.679e+00	 8.110975	7.402e+00	0.0169715	test
SIN3A@13997	-4.858e+00	 3.892071	7.395e+00	0.0170123	test
SIN3A@14468	 3.664e+00	10.226244	7.382e+00	0.0170907	mCherry
SIN3A@02205	-6.175e+00	 3.664164	7.381e+00	0.0170955	test
SIN3A@11716	 7.257e+00	 3.437397	7.379e+00	0.0171076	test
SIN3A@08191	 2.578e+00	 7.218984	7.379e+00	0.0171081	test
SIN3A@07804	 3.540e+00	 6.413016	7.373e+00	0.0171498	test
SIN3A@07828	 2.723e+00	 7.611158	7.345e+00	0.0173173	test
SIN3A@10899	 6.675e+00	 4.477375	7.330e+00	0.0174137	test
SIN3A@03568	 2.855e+00	 6.898975	7.330e+00	0.0174147	test
SIN3A@06310	-6.141e+00	 0.256618	7.310e+00	0.0175374	test
SIN3A@08105	 7.548e+00	 3.385886	7.261e+00	0.0178479	test
SIN3A@02186	 3.698e+00	 5.426646	7.225e+00	0.0179065	test
SIN3A@07900	 4.090e+00	 6.408337	7.242e+00	0.0179725	test
SIN3A@09065	 7.955e+00	 3.784616	7.235e+00	0.0180147	test
SIN3A@03160	 4.033e+00	 6.247915	7.229e+00	0.0180556	test
SIN3A@02855	 9.440e+00	 2.953697	7.384e+00	0.0180781	test
SIN3A@00753	 6.248e+00	 4.060320	7.214e+00	0.0181535	test
SIN3A@07989	 4.583e+00	 6.865190	7.182e+00	0.0183633	test
