logFC	logCPM	F	PValue	status
SIN3A@02904	-5.036e+00	 4.874898	7.432e+00	2.179e-02	test
SIN3A@11980	-4.154e+00	 5.309065	7.418e+00	2.187e-02	test
SIN3A@05134	 3.126e+00	 7.068399	7.460e+00	2.191e-02	test
SIN3A@01522	 7.141e+00	 3.856929	7.413e+00	2.191e-02	test
SIN3A@08572	 5.881e+00	 4.430896	7.402e+00	2.198e-02	test
SIN3A@11745	 4.757e+00	 7.785356	7.434e+00	2.208e-02	test
SIN3A@13199	-4.573e+00	 5.274849	7.430e+00	2.211e-02	test
SIN3A@09851	 3.571e+00	 7.299519	7.403e+00	2.230e-02	test
SIN3A@07971	 8.976e+00	 5.057985	7.401e+00	2.231e-02	test
SIN3A@13761	-3.458e+00	 6.134704	7.396e+00	2.235e-02	test
SIN3A@04721	-3.688e+00	 5.643958	7.324e+00	2.252e-02	test
SIN3A@08333	 5.307e+00	 5.344789	7.365e+00	2.256e-02	test
SIN3A@06574	 3.085e+00	 7.886151	7.353e+00	2.264e-02	test
SIN3A@00771	-3.704e+00	 5.605248	7.288e+00	2.278e-02	test
SIN3A@08939	-3.918e+00	 5.480540	7.275e+00	2.287e-02	test
SIN3A@04192	-4.441e+00	 5.406984	7.314e+00	2.292e-02	test
SIN3A@02736	 9.968e+00	 2.950872	7.610e+00	2.311e-02	test
SIN3A@12948	 9.662e+00	 2.657041	7.593e+00	2.323e-02	test
SIN3A@01079	 4.618e+00	 5.160821	7.267e+00	2.326e-02	test
SIN3A@10870	 8.514e+00	 2.850614	7.195e+00	2.346e-02	test
SIN3A@02440	-5.384e+00	 4.581655	7.193e+00	2.347e-02	test
SIN3A@14196	 1.048e+01	 3.450336	7.501e+00	2.386e-02	negative
SIN3A@08172	 2.100e+00	 7.694486	7.147e+00	2.416e-02	test
SIN3A@04513	 3.566e+00	 5.658257	7.091e+00	2.425e-02	test
SIN3A@14390	-2.033e+00	 7.988128	7.134e+00	2.425e-02	negative
SIN3A@00781	 3.850e+00	 7.423415	7.129e+00	2.429e-02	test
SIN3A@06024	 2.302e+00	 7.709789	7.128e+00	2.430e-02	test
SIN3A@11876	 1.064e+01	 3.605516	7.439e+00	2.430e-02	test
SIN3A@12448	 3.970e+00	 5.922856	7.123e+00	2.434e-02	test
SIN3A@01055	 7.060e+00	 3.777765	7.075e+00	2.437e-02	test
SIN3A@01908	-4.473e+00	 5.014228	7.070e+00	2.441e-02	test
SIN3A@00162	 5.033e+00	 6.546136	7.107e+00	2.446e-02	test
SIN3A@10987	 8.947e+00	 4.404615	7.079e+00	2.468e-02	test
SIN3A@06434	 2.588e+00	 7.075031	7.077e+00	2.470e-02	test
SIN3A@06142	 4.986e+00	 4.737256	7.019e+00	2.481e-02	test
SIN3A@04648	-4.357e+00	 5.240944	7.051e+00	2.484e-02	test
SIN3A@07888	 3.140e+00	 6.559377	7.054e+00	2.487e-02	test
SIN3A@07513	 4.183e+00	 5.767737	7.047e+00	2.493e-02	test
SIN3A@07900	 4.000e+00	 6.038869	7.045e+00	2.495e-02	test
SIN3A@14248	-4.252e+00	 5.346779	7.036e+00	2.502e-02	negative
SIN3A@00057	-2.840e+00	 6.712371	7.022e+00	2.505e-02	test
SIN3A@03544	 4.626e+00	 5.667932	7.026e+00	2.510e-02	test
SIN3A@03577	 3.022e+00	 7.627879	7.022e+00	2.513e-02	test
SIN3A@07200	 3.009e+00	 7.084619	7.015e+00	2.518e-02	test
SIN3A@08293	 2.007e+00	 7.679300	6.972e+00	2.553e-02	test
SIN3A@01723	 3.912e+00	 5.821891	6.968e+00	2.557e-02	test
SIN3A@07909	 3.194e+00	 6.707041	6.918e+00	2.598e-02	test
SIN3A@00159	 2.777e+00	 7.300582	6.902e+00	2.611e-02	test
SIN3A@01641	-6.223e+00	 4.416646	6.854e+00	2.652e-02	test
SIN3A@10836	 7.179e+00	 3.520422	6.812e+00	2.653e-02	test
SIN3A@02977	 5.552e+00	 4.442554	6.804e+00	2.660e-02	test
SIN3A@07920	 2.623e+00	 7.273407	6.842e+00	2.662e-02	test
SIN3A@11591	 3.463e+00	 6.011889	6.836e+00	2.668e-02	test
SIN3A@04697	 2.688e+00	 6.935397	6.829e+00	2.674e-02	test
SIN3A@12841	 4.912e+00	 4.857989	6.818e+00	2.678e-02	test
SIN3A@00753	 6.673e+00	 4.150177	6.819e+00	2.682e-02	test
SIN3A@12281	 8.143e+00	 4.233485	6.819e+00	2.682e-02	test
SIN3A@01311	 7.413e+00	 3.950019	6.818e+00	2.682e-02	test
SIN3A@11380	-5.910e+00	 4.616831	6.817e+00	2.684e-02	test
SIN3A@00354	 9.805e+00	 2.795969	7.098e+00	2.689e-02	test
SIN3A@03256	 7.742e+00	 4.746401	6.811e+00	2.689e-02	test
SIN3A@06846	-2.551e+00	 6.797540	6.766e+00	2.693e-02	test
SIN3A@03768	 3.593e+00	 6.440971	6.795e+00	2.703e-02	test
SIN3A@01702	 1.068e+01	 3.647658	7.073e+00	2.710e-02	test
SIN3A@00502	-5.647e+00	 4.787484	6.781e+00	2.715e-02	test
SIN3A@07973	 8.828e+00	 4.284845	6.744e+00	2.748e-02	test
SIN3A@07851	 2.844e+00	 7.383326	6.728e+00	2.763e-02	test
SIN3A@07956	 4.298e+00	 6.869186	6.715e+00	2.774e-02	test
SIN3A@07901	 2.565e+00	 7.186174	6.713e+00	2.776e-02	test
