oligo	XR029	XR030	XR031	XR032	XR034	XR035	XR036	XR037	group
SIN3A@00145	536	1250	133	66	390	1767	821	369	test
SIN3A@00146	931	553	98	131	371	1353	958	750	test
SIN3A@00147	428	757	79	10	264	305	0	613	test
SIN3A@00148	268	1394	76	4	24	632	361	26	test
SIN3A@00149	4745	4194	1996	1941	3878	4343	850	1161	test
SIN3A@00150	2517	2659	657	445	743	1774	1305	563	test
SIN3A@00151	247	329	83	40	0	2	208	255	test
SIN3A@00152	23	483	16	7	5	287	391	563	test
SIN3A@00153	1059	621	357	428	366	1356	438	1073	test
SIN3A@00154	1847	1551	885	899	2003	1664	1178	124	test
SIN3A@00155	285	307	21	24	21	9	11	698	test
SIN3A@00156	835	757	63	81	462	173	109	848	test
SIN3A@00157	1541	409	972	982	1095	1442	879	748	test
SIN3A@00158	232	23	71	3	6	922	265	20	test
SIN3A@00159	761	1917	676	108	108	20	2882	1184	test
SIN3A@00160	1911	686	801	921	1458	1374	635	2221	test
SIN3A@00161	277	694	183	43	425	401	14	494	test
SIN3A@00162	110	43	20	24	21	1262	2505	181	test
SIN3A@00163	1135	2815	392	328	860	1638	212	792	test
SIN3A@00164	1139	470	768	698	1383	1989	357	49	test
SIN3A@00165	315	443	106	26	398	28	240	643	test
SIN3A@00166	93	271	18	0	443	241	403	20	test
SIN3A@00167	152	13	7	0	0	544	120	17	test
SIN3A@00168	367	146	61	32	10	13	463	508	test
SIN3A@00169	105	20	5	1	408	697	864	248	test
SIN3A@00170	1139	925	742	789	1147	820	301	193	test
SIN3A@00171	92	808	118	2	652	111	1705	66	test
SIN3A@00172	353	797	19	4	205	34	107	233	test
SIN3A@00173	967	1707	759	634	830	1029	1411	1910	test
SIN3A@00174	431	522	25	17	1147	1462	190	410	test
SIN3A@00175	12	18	6	4	4	546	480	1343	test
SIN3A@00176	499	1224	215	28	1433	2544	894	664	test
SIN3A@00177	19	1155	41	43	97	1215	466	553	test
SIN3A@00178	340	211	195	31	497	610	2	19	test
SIN3A@00179	4	12	11	8	549	9	4	19	test
SIN3A@00180	381	563	50	28	406	559	647	79	test
SIN3A@00181	1	19	1	2	1	0	395	362	test
SIN3A@00182	890	1191	982	413	1992	993	599	339	test
SIN3A@00183	528	368	148	25	31	2368	30	485	test
SIN3A@00184	868	1506	170	83	545	633	371	842	test
SIN3A@00185	587	410	32	10	1001	1351	432	2401	test
SIN3A@00186	594	364	146	31	453	867	217	525	test
SIN3A@00187	1660	2658	187	43	2022	3426	2403	1589	test
SIN3A@00188	2648	2288	1012	474	1670	2350	78	288	test
SIN3A@00189	3711	3342	1723	756	1777	3745	1560	954	test
SIN3A@00190	277	755	31	27	927	1186	1332	130	test
SIN3A@00191	24	879	40	29	273	478	13	62	test
SIN3A@00192	1749	444	353	33	1723	1674	887	225	test
SIN3A@00193	1363	1707	565	363	701	1136	699	366	test
SIN3A@00194	3060	1582	1551	1796	2835	1735	405	450	test
SIN3A@00195	1209	528	602	746	1206	838	88	260	test
SIN3A@00196	3166	1109	1630	1612	3968	3747	1458	550	test
SIN3A@00197	1404	1304	1028	887	1287	1308	506	92	test
SIN3A@00198	291	491	430	392	630	919	295	76	test
SIN3A@00199	549	614	290	355	1273	607	548	1735	test
SIN3A@00200	2	307	106	0	2	0	0	0	test
SIN3A@00201	332	521	26	43	1674	1021	1064	46	test
SIN3A@00202	527	287	19	1	4	779	14	319	test
SIN3A@00203	269	948	290	228	1417	125	397	304	test
SIN3A@00204	134	953	92	39	415	590	493	685	test
SIN3A@00205	691	2139	183	53	300	2056	2984	616	test
SIN3A@00206	1	1	0	0	331	6	0	6	test
SIN3A@00207	517	678	265	227	588	478	230	272	test
SIN3A@00208	772	175	581	592	968	807	443	61	test
SIN3A@00209	576	730	75	33	54	8	202	44	test
SIN3A@00210	57	991	189	54	135	17	11	621	test
SIN3A@00211	1063	2954	411	361	981	2230	82	231	test
SIN3A@00212	14	473	210	35	23	3	136	19	test
SIN3A@00213	853	1624	455	97	1186	2866	5365	2152	test
SIN3A@00214	887	1400	984	474	554	1606	288	324	test
SIN3A@00215	607	594	20	6	0	334	480	24	test
SIN3A@00216	108	604	159	26	409	426	237	473	test
SIN3A@00217	9	1273	234	14	783	534	954	1906	test
SIN3A@00218	459	483	344	296	290	393	410	336	test
SIN3A@00219	26	292	203	30	629	1070	372	463	test
SIN3A@00220	796	1169	275	114	439	772	1655	466	test
SIN3A@00221	1783	917	646	786	1063	353	69	70	test
SIN3A@00222	2	1	1	2	0	2	1	0	test
SIN3A@00223	14	538	132	2	827	15	207	382	test
SIN3A@00224	186	21	6	1	115	4	1022	967	test
SIN3A@00225	72	13	74	38	11	1809	119	1265	test
SIN3A@00226	80	1220	352	74	21	207	2	350	test
SIN3A@00227	1123	1477	462	79	2198	1503	3596	1380	test
SIN3A@00228	449	1146	25	8	3	394	9	844	test
SIN3A@00229	655	800	164	24	165	1559	391	68	test
SIN3A@00230	1462	391	27	53	380	921	1196	2958	test
SIN3A@00231	1477	528	716	827	1534	423	80	79	test
SIN3A@00232	651	569	22	36	748	990	886	1313	test
SIN3A@00233	161	177	103	24	408	673	675	95	test
SIN3A@00234	1516	1138	153	40	123	1494	16	1271	test
SIN3A@00235	2058	3937	837	755	2329	3350	694	1165	test
SIN3A@00236	3374	1436	1311	1037	2261	3399	1900	213	test
SIN3A@00237	110	595	4	22	57	417	2	194	test
SIN3A@00238	1687	1163	1227	582	719	553	854	805	test
SIN3A@00239	363	1041	678	311	473	601	928	749	test
SIN3A@00240	783	1311	89	70	1711	57	390	824	test
SIN3A@00241	352	243	25	63	239	24	285	117	test
SIN3A@00242	1591	2331	1013	834	1455	2980	1175	355	test
SIN3A@00243	606	246	89	23	239	8	389	206	test
SIN3A@00244	93	201	16	0	0	0	0	5	test
SIN3A@00245	157	1397	36	7	2	506	222	24	test
SIN3A@00246	1576	1720	982	802	2192	684	440	781	test
SIN3A@00247	896	1293	100	42	703	2189	1071	1079	test
SIN3A@00248	317	424	263	246	461	560	124	67	test
SIN3A@00249	547	1702	339	24	615	902	1982	3055	test
SIN3A@00250	268	766	34	30	280	710	441	41	test
SIN3A@00251	1182	1291	173	14	850	1933	167	354	test
SIN3A@00252	848	1472	562	339	584	830	31	1590	test
SIN3A@00253	866	1479	450	44	174	699	1986	235	test
SIN3A@00254	942	486	566	682	1200	811	314	862	test
SIN3A@00255	84	43	63	23	242	516	263	872	test
SIN3A@00256	1457	507	766	719	783	654	1514	798	test
SIN3A@00257	2428	2627	1305	1381	1625	942	1399	285	test
SIN3A@00258	133	536	192	150	495	54	10	17	test
SIN3A@00259	393	1002	51	9	0	9	1114	63	test
SIN3A@00260	1061	2215	304	98	90	1355	1370	3752	test
SIN3A@00261	499	1172	223	192	1283	469	158	69	test
SIN3A@00262	1877	400	325	66	1352	1814	1021	2031	test
SIN3A@00263	72	118	79	8	2	661	622	794	test
SIN3A@00264	21	600	26	13	9	7	3	102	test
SIN3A@00265	530	2520	308	34	1286	1240	573	526	test
SIN3A@00266	366	1010	52	28	796	453	942	110	test
SIN3A@00267	92	438	13	38	0	1	0	5	test
SIN3A@00268	1581	2543	890	745	1235	1470	3264	825	test
SIN3A@00269	1224	1742	672	85	1433	3427	2255	1675	test
SIN3A@00270	230	438	525	10	39	401	302	574	test
SIN3A@00271	1987	2648	211	94	702	3257	654	274	test
SIN3A@00272	314	907	129	22	1139	601	568	159	test
SIN3A@00273	746	704	329	80	717	1574	141	414	test
SIN3A@00274	1076	1078	627	760	1539	761	827	655	test
SIN3A@00275	142	371	20	11	23	16	0	593	test
SIN3A@00276	7	435	7	5	7	479	446	25	test
SIN3A@00277	468	668	212	21	90	431	15	929	test
SIN3A@00278	261	471	240	31	581	381	1	179	test
SIN3A@00279	222	219	215	278	545	138	749	61	test
SIN3A@00280	908	975	660	714	1535	1016	469	156	test
SIN3A@00281	181	222	321	18	22	345	772	214	test
SIN3A@00282	121	288	147	21	687	1477	282	399	test
SIN3A@00283	770	366	195	38	446	609	167	458	test
SIN3A@00284	399	218	360	51	426	1179	1744	381	test
SIN3A@00285	868	1226	197	42	665	3228	427	1249	test
SIN3A@00286	437	331	298	263	260	422	22	343	test
SIN3A@00287	195	508	71	27	452	420	351	2493	test
SIN3A@00288	697	472	53	60	164	1052	519	904	test
SIN3A@00289	703	731	14	11	369	796	878	1103	test
SIN3A@00290	1000	772	434	385	1277	1737	689	1703	test
SIN3A@00291	388	1276	468	141	212	1174	622	922	test
SIN3A@00292	202	250	90	1	725	23	212	4	test
SIN3A@00293	546	194	97	26	302	204	4	5	test
SIN3A@00294	364	137	9	4	404	373	270	75	test
SIN3A@00295	368	268	169	22	445	814	3	45	test
SIN3A@00296	2581	1370	1853	2076	2503	996	524	130	test
SIN3A@00297	985	2858	563	316	1703	1371	1958	917	test
SIN3A@00298	1392	573	129	65	201	1069	730	947	test
SIN3A@00299	276	700	192	12	111	716	1	0	test
SIN3A@00300	890	338	65	35	0	217	168	181	test
SIN3A@00301	571	1153	318	357	301	567	41	90	test
SIN3A@00302	275	936	17	24	65	0	0	4	test
SIN3A@00303	137	269	5	0	1	249	5	9	test
SIN3A@00304	587	842	137	22	836	827	704	4472	test
SIN3A@00305	27	35	11	18	360	866	28	108	test
SIN3A@00306	1162	546	619	506	660	615	170	69	test
SIN3A@00307	246	353	207	43	1065	1484	258	54	test
SIN3A@00308	14	539	153	8	453	10	7	57	test
SIN3A@00309	3244	2653	2010	1972	3040	2966	2699	890	test
SIN3A@00310	341	275	107	39	89	516	300	460	test
SIN3A@00311	1008	862	66	57	236	135	8	1933	test
SIN3A@00312	453	31	3	39	3	925	225	35	test
SIN3A@00313	1353	1414	338	216	530	1245	2077	1637	test
SIN3A@00314	1630	693	718	647	1783	331	454	253	test
SIN3A@00315	411	48	106	57	75	95	1716	252	test
SIN3A@00316	12	248	6	3	0	1	0	51	test
SIN3A@00317	384	70	212	18	16	916	346	104	test
SIN3A@00318	559	194	308	383	459	170	15	54	test
SIN3A@00319	1156	2182	740	738	1515	377	674	106	test
SIN3A@00320	295	183	24	6	15	539	438	45	test
SIN3A@00321	508	490	521	335	1284	2258	541	348	test
SIN3A@00322	1013	701	103	33	102	740	354	851	test
SIN3A@00323	1138	1143	785	833	1081	1372	2326	498	test
SIN3A@00324	4	651	71	15	73	374	302	414	test
SIN3A@00325	448	338	14	19	63	1883	343	65	test
SIN3A@00326	687	465	437	276	1540	641	1109	673	test
SIN3A@00327	147	280	92	16	104	911	515	301	test
SIN3A@00328	1656	853	1017	946	1521	1264	881	994	test
SIN3A@00329	2	0	0	0	0	2	0	1	test
SIN3A@00330	1	14	74	24	78	1415	1843	2020	test
SIN3A@00331	1388	1305	623	625	1484	732	619	254	test
SIN3A@00332	260	327	106	21	214	412	3	334	test
SIN3A@00333	583	783	35	6	558	2324	1332	758	test
SIN3A@00334	996	1481	398	338	769	1517	941	166	test
SIN3A@00335	1255	1093	142	51	537	1542	128	705	test
SIN3A@00336	1184	1036	464	188	984	313	19	1047	test
SIN3A@00337	265	583	22	16	674	459	15	46	test
SIN3A@00338	1219	600	597	497	924	1119	768	1995	test
SIN3A@00339	119	415	904	43	92	1245	21	632	test
SIN3A@00340	486	1175	148	31	508	1058	205	141	test
SIN3A@00341	204	424	16	63	180	218	8	1333	test
SIN3A@00342	28	456	68	25	610	425	279	350	test
SIN3A@00343	56	1068	359	72	851	992	13	531	test
SIN3A@00344	1062	714	703	609	820	988	547	278	test
SIN3A@00345	41	823	76	74	107	787	543	937	test
SIN3A@00346	8	380	37	13	650	562	1344	717	test
SIN3A@00347	2	1	3	3	1	1	0	0	test
SIN3A@00348	704	603	44	26	4	796	848	986	test
SIN3A@00349	610	361	519	50	444	1236	8	16	test
SIN3A@00350	490	101	86	17	12	3	1	385	test
SIN3A@00351	658	1256	157	32	760	1810	1118	646	test
SIN3A@00352	409	308	46	18	319	1606	122	12	test
SIN3A@00353	1070	549	162	11	7	5	216	43	test
SIN3A@00354	0	2	110	0	0	397	2	9	test
SIN3A@00355	1231	1260	214	41	1292	969	12	31	test
SIN3A@00356	267	14	3	3	86	891	383	16	test
SIN3A@00357	282	859	135	24	224	2707	1212	1164	test
SIN3A@00358	1863	1391	263	45	493	1958	718	742	test
SIN3A@00359	1779	935	684	717	1919	1437	476	1312	test
SIN3A@00360	1840	2031	972	758	1083	3508	2049	1976	test
SIN3A@00361	42	71	45	28	154	22	5	163	test
SIN3A@00362	2729	2730	902	697	1264	1926	1714	1089	test
SIN3A@00363	1312	1278	593	758	822	1171	252	79	test
SIN3A@00364	750	63	130	2	312	16	0	321	test
SIN3A@00365	549	1352	237	70	1592	411	242	1859	test
SIN3A@00366	1666	1300	294	313	1154	753	112	60	test
SIN3A@00367	421	1587	288	51	371	775	296	129	test
SIN3A@00368	1214	307	719	763	936	407	71	134	test
SIN3A@00369	1783	800	1089	1264	1621	550	943	690	test
SIN3A@00370	347	1061	97	22	123	1	0	233	test
SIN3A@00371	3208	1718	1607	1427	2382	2300	1714	3329	test
SIN3A@00372	1146	1007	513	404	386	524	758	180	test
SIN3A@00373	113	476	62	16	587	1336	1929	629	test
SIN3A@00374	863	1660	536	367	293	1118	1310	880	test
SIN3A@00375	0	2	0	1	1	1	0	0	test
SIN3A@00376	168	889	35	27	269	467	6	706	test
SIN3A@00377	1415	660	634	683	901	978	579	147	test
SIN3A@00378	817	1664	43	52	119	1277	1046	492	test
SIN3A@00379	1421	1395	998	984	1972	2791	537	448	test
SIN3A@00380	2	3	0	1	0	0	2	226	test
SIN3A@00381	19	29	9	13	5	199	9	102	test
SIN3A@00382	328	45	17	25	294	14	494	548	test
SIN3A@00383	619	228	29	56	606	1662	1090	180	test
SIN3A@00384	1462	1929	1051	642	4242	3884	829	809	test
SIN3A@00385	2389	1889	1112	947	3182	3430	774	748	test
SIN3A@00386	2051	4388	713	489	1657	1884	1553	466	test
SIN3A@00387	287	816	340	135	129	417	147	563	test
SIN3A@00388	458	1360	221	44	126	448	425	199	test
SIN3A@00389	378	770	91	20	65	366	426	47	test
SIN3A@00390	705	1502	217	127	1862	1717	575	859	test
SIN3A@00391	491	822	292	289	288	138	237	128	test
SIN3A@00392	1400	1232	157	32	747	651	256	2395	test
SIN3A@00393	577	768	43	32	200	10	229	23	test
SIN3A@00394	633	698	94	4	300	864	2143	98	test
SIN3A@00395	20	912	254	49	211	1076	900	1338	test
SIN3A@00396	446	913	54	22	430	1054	287	2363	test
SIN3A@00397	541	105	139	38	38	30	262	677	test
SIN3A@00398	840	1998	725	88	1923	1156	941	667	test
SIN3A@00399	1896	2824	1832	1361	2353	2042	432	323	test
SIN3A@00400	1131	114	123	17	16	399	133	63	test
SIN3A@00401	1127	1316	579	68	213	385	3	84	test
SIN3A@00402	706	1444	289	57	617	771	1562	464	test
SIN3A@00403	363	851	37	43	65	692	342	568	test
SIN3A@00404	1504	598	375	358	682	1159	38	1305	test
SIN3A@00405	244	875	145	17	2	9	799	929	test
SIN3A@00406	445	192	94	2	295	17	2	333	test
SIN3A@00407	690	1466	380	44	1049	1674	537	1923	test
SIN3A@00408	53	825	112	7	316	285	2	310	test
SIN3A@00409	751	723	274	373	658	127	33	104	test
SIN3A@00410	692	920	65	6	0	7	1168	284	test
SIN3A@00411	529	830	43	27	953	36	1347	1104	test
SIN3A@00412	250	526	14	2	491	994	260	189	test
SIN3A@00413	528	780	185	21	3	754	141	572	test
SIN3A@00414	932	951	469	142	1477	1588	1481	547	test
SIN3A@00415	33	22	191	32	32	1437	7	4	test
SIN3A@00416	165	48	24	11	321	220	6	150	test
SIN3A@00417	1047	486	838	825	2108	465	628	298	test
SIN3A@00418	1136	2242	185	57	634	975	1243	872	test
SIN3A@00419	2326	2347	319	346	673	842	911	1329	test
SIN3A@00420	9	5	66	38	5	377	2	816	test
SIN3A@00421	2081	2486	943	760	1950	1989	741	525	test
SIN3A@00422	313	527	109	17	254	653	347	431	test
SIN3A@00423	4123	4074	1913	1646	4257	6423	944	998	test
SIN3A@00424	1554	840	512	343	324	1927	723	1032	test
SIN3A@00425	39	568	47	28	418	556	172	366	test
SIN3A@00426	561	1345	198	49	270	1548	1544	2188	test
SIN3A@00427	580	460	10	11	379	18	0	1157	test
SIN3A@00428	1053	1705	132	86	946	547	3383	1338	test
SIN3A@00429	9	285	67	2	72	476	11	704	test
SIN3A@00430	1113	654	126	21	641	2316	1688	1574	test
SIN3A@00431	344	1647	513	57	1542	313	920	45	test
SIN3A@00432	337	1041	54	15	251	527	657	701	test
SIN3A@00433	2436	1034	833	655	874	2388	83	220	test
SIN3A@00434	548	362	15	0	2	1009	13	47	test
SIN3A@00435	511	415	806	390	567	1155	42	675	test
SIN3A@00436	2182	773	328	36	81	417	741	2159	test
SIN3A@00437	134	560	146	61	1006	656	587	622	test
SIN3A@00438	12	1062	33	22	324	8	0	237	test
SIN3A@00439	745	1595	660	122	206	518	464	769	test
SIN3A@00440	1215	501	154	12	582	506	469	59	test
SIN3A@00441	203	49	23	10	169	4	0	92	test
SIN3A@00442	281	29	12	21	70	1197	1172	70	test
SIN3A@00443	300	1785	503	244	825	117	1674	602	test
SIN3A@00444	1273	1274	249	66	1840	3094	1305	701	test
SIN3A@00445	2639	3053	1365	839	3358	4662	3229	1411	test
SIN3A@00446	90	1006	36	15	804	43	225	209	test
SIN3A@00447	22	876	52	28	5	693	357	188	test
SIN3A@00448	678	935	34	8	167	436	102	72	test
SIN3A@00449	1118	394	81	5	415	2207	507	590	test
SIN3A@00450	434	1296	424	238	239	82	22	544	test
SIN3A@00451	2125	1625	144	52	468	1668	2392	7192	test
SIN3A@00452	1147	2052	72	15	162	2426	740	943	test
SIN3A@00453	1776	3470	525	307	1515	2048	782	1958	test
SIN3A@00454	134	363	9	7	859	531	3	20	test
SIN3A@00455	1953	1656	1614	1164	1406	899	96	736	test
SIN3A@00456	207	877	273	347	640	2435	314	884	test
SIN3A@00457	340	530	9	13	488	550	243	57	test
SIN3A@00458	414	835	306	7	1241	2101	1895	758	test
SIN3A@00459	429	27	358	58	4	3	3	340	test
SIN3A@00460	1975	714	672	847	1819	413	510	557	test
SIN3A@00461	2135	1062	1029	1046	1528	1278	327	168	test
SIN3A@00462	2	1	0	0	3	1	3	1	test
SIN3A@00463	203	30	15	8	249	12	0	166	test
SIN3A@00464	1393	2761	183	74	874	1243	1059	62	test
SIN3A@00465	368	721	178	32	456	947	339	1252	test
SIN3A@00466	3	455	8	7	353	11	0	46	test
SIN3A@00467	25	212	23	31	20	3	0	99	test
SIN3A@00468	238	297	4	4	2	314	3	0	test
SIN3A@00469	16	94	54	14	334	606	1260	647	test
SIN3A@00470	934	1781	311	23	642	541	2058	1563	test
SIN3A@00471	45	237	173	14	17	492	875	905	test
SIN3A@00472	2	244	142	12	140	1433	137	313	test
SIN3A@00473	144	594	19	16	208	1471	465	712	test
SIN3A@00474	865	1916	467	57	1699	4276	2681	3700	test
SIN3A@00475	1648	523	767	798	1329	1601	577	385	test
SIN3A@00476	375	19	13	12	0	0	3	1441	test
SIN3A@00477	359	306	11	37	341	782	4	8	test
SIN3A@00478	1253	1005	776	825	1125	1728	84	363	test
SIN3A@00479	891	592	452	470	595	247	738	257	test
SIN3A@00480	635	991	240	47	1080	514	2903	759	test
SIN3A@00481	1339	197	976	788	1444	2433	1105	130	test
SIN3A@00482	0	1	0	0	0	0	0	0	test
