logFC	logCPM	F	PValue	status
SIN3A@05445	 2.653e+00	 6.834564	7.365e+00	1.799e-02	test
SIN3A@08178	 2.363e+00	 7.605324	7.371e+00	1.808e-02	test
SIN3A@08338	 5.338e+00	 5.423368	7.370e+00	1.809e-02	test
SIN3A@09737	 8.109e+00	 4.499370	7.342e+00	1.827e-02	test
SIN3A@12620	 5.667e+00	 5.399652	7.335e+00	1.831e-02	test
SIN3A@11002	 1.064e+01	 3.601644	7.489e+00	1.836e-02	test
SIN3A@11624	-4.313e+00	 5.699375	7.322e+00	1.836e-02	test
SIN3A@08403	-7.696e+00	 4.579228	7.326e+00	1.837e-02	test
SIN3A@14390	-1.997e+00	 8.026568	7.294e+00	1.858e-02	negative
SIN3A@03455	 3.899e+00	 6.108183	7.286e+00	1.862e-02	test
SIN3A@08092	 1.107e+01	 4.033875	7.465e+00	1.866e-02	test
SIN3A@00159	 2.745e+00	 7.232384	7.231e+00	1.899e-02	test
SIN3A@04971	 6.572e+00	 5.081743	7.203e+00	1.917e-02	test
SIN3A@13640	 4.074e+00	 6.111827	7.178e+00	1.935e-02	test
SIN3A@05510	 3.609e+00	 5.969248	7.130e+00	1.953e-02	test
SIN3A@10987	 9.385e+00	 4.458085	7.120e+00	1.974e-02	test
SIN3A@06024	 2.209e+00	 7.649855	7.118e+00	1.976e-02	test
SIN3A@07909	 3.170e+00	 6.620912	7.079e+00	2.003e-02	test
SIN3A@04648	-5.009e+00	 5.270981	7.015e+00	2.035e-02	test
SIN3A@07200	 2.864e+00	 6.991959	7.000e+00	2.060e-02	test
SIN3A@07850	 1.653e+00	 8.141105	6.977e+00	2.063e-02	test
SIN3A@07926	 2.252e+00	 7.369076	6.984e+00	2.072e-02	test
SIN3A@05724	-2.646e+00	 6.780678	6.955e+00	2.079e-02	test
SIN3A@06846	-2.546e+00	 6.835325	6.949e+00	2.084e-02	test
SIN3A@07971	 8.678e+00	 4.955460	6.953e+00	2.095e-02	test
SIN3A@08127	 1.716e+00	 8.518794	6.942e+00	2.103e-02	test
SIN3A@08180	 1.538e+00	 8.719970	6.927e+00	2.114e-02	test
SIN3A@09790	 5.239e+00	 6.560477	6.922e+00	2.118e-02	test
SIN3A@13301	-3.341e+00	 6.260544	6.916e+00	2.123e-02	test
SIN3A@03774	 3.118e+00	 6.814084	6.892e+00	2.141e-02	test
SIN3A@03311	 6.133e+00	 4.739382	6.849e+00	2.160e-02	test
SIN3A@07851	 2.806e+00	 7.311869	6.841e+00	2.180e-02	test
SIN3A@07956	 4.147e+00	 6.745036	6.838e+00	2.183e-02	test
SIN3A@01388	 5.838e+00	 5.155624	6.812e+00	2.203e-02	test
SIN3A@06926	 1.039e+01	 3.366422	6.907e+00	2.245e-02	test
SIN3A@06434	 2.470e+00	 7.015024	6.757e+00	2.247e-02	test
