logFC	logCPM	F	PValue	status
Sox2-hU6@19602	-1.195e+00	 5.296358	7.763e+00	1.313e-02	test
Sox2-hU6@08003	 9.011e-01	 7.514661	7.813e+00	1.319e-02	test
Sox2-hU6@03646	 1.193e+00	 5.725996	7.872e+00	1.320e-02	test
Sox2-hU6@01762	 4.153e+00	 1.815042	7.912e+00	1.321e-02	test
Sox2-hU6@23240	 1.238e+00	 5.651726	7.920e+00	1.321e-02	test
Sox2-hU6@02650	 9.631e-01	 5.882293	7.746e+00	1.322e-02	test
Sox2-hU6@09300	-1.346e+00	 4.377866	7.739e+00	1.325e-02	test
Sox2-hU6@07265	 1.647e+00	 3.911625	7.731e+00	1.329e-02	test
Sox2-hU6@07708	-1.376e+00	 4.578304	7.724e+00	1.332e-02	test
Sox2-hU6@05049	-1.423e+00	 4.128973	7.711e+00	1.339e-02	test
Sox2-hU6@03084	-1.547e+00	 4.219274	7.708e+00	1.340e-02	test
Sox2-hU6@22180	-1.445e+00	 4.400711	7.705e+00	1.342e-02	test
Sox2-hU6@23335	-2.613e+00	 2.505268	7.701e+00	1.344e-02	test
Sox2-hU6@01011	 1.198e+00	 5.815760	7.868e+00	1.346e-02	test
Sox2-hU6@03829	 1.272e+00	 5.870043	8.052e+00	1.347e-02	test
Sox2-hU6@22535	 2.178e+00	 3.474306	7.830e+00	1.349e-02	test
Sox2-hU6@00132	-2.911e+00	 2.082763	7.676e+00	1.357e-02	test
Sox2-hU6@16532	-1.142e+00	 5.065356	7.661e+00	1.364e-02	test
Sox2-hU6@07288	 1.690e+00	 4.601444	7.994e+00	1.369e-02	test
Sox2-hU6@27276	 9.343e-01	 5.987774	7.651e+00	1.369e-02	negative
Sox2-hU6@08999	-1.543e+00	 4.183001	7.605e+00	1.393e-02	test
Sox2-hU6@05513	 2.067e+00	 3.042281	7.601e+00	1.395e-02	test
Sox2-hU6@15858	 2.028e+00	 3.928024	7.918e+00	1.398e-02	test
Sox2-hU6@02600	 1.251e+00	 6.017585	7.985e+00	1.402e-02	test
Sox2-hU6@24889	-1.796e+00	 3.714135	7.583e+00	1.404e-02	test
Sox2-hU6@01058	-1.320e+00	 4.380924	7.576e+00	1.408e-02	test
Sox2-hU6@15786	 1.461e+00	 5.794372	8.228e+00	1.440e-02	test
Sox2-hU6@24400	-3.896e+00	 1.182033	7.501e+00	1.448e-02	test
Sox2-hU6@06142	 9.187e-01	 5.995503	7.498e+00	1.450e-02	test
Sox2-hU6@07073	 1.095e+00	 5.780710	7.522e+00	1.451e-02	test
Sox2-hU6@02872	 1.865e+00	 3.635612	7.493e+00	1.455e-02	test
Sox2-hU6@26107	 1.519e+00	 4.385009	7.506e+00	1.467e-02	test
Sox2-hU6@25523	 1.020e+00	 6.411443	7.609e+00	1.471e-02	test
Sox2-hU6@10130	 1.235e+00	 4.697948	7.441e+00	1.481e-02	test
Sox2-hU6@18972	 1.447e+00	 4.020131	7.438e+00	1.483e-02	test
Sox2-hU6@12821	-1.745e+00	 3.546396	7.424e+00	1.491e-02	test
Sox2-hU6@08137	 1.138e+00	 4.897742	7.397e+00	1.506e-02	test
Sox2-hU6@22020	 1.279e+00	 4.828488	7.392e+00	1.509e-02	test
Sox2-hU6@27130	 1.584e+00	 5.155162	7.940e+00	1.519e-02	negative
Sox2-hU6@04251	-1.127e+00	 5.186545	7.373e+00	1.520e-02	test
Sox2-hU6@03449	-1.144e+00	 5.176083	7.371e+00	1.521e-02	test
Sox2-hU6@03284	-1.129e+00	 5.037757	7.365e+00	1.524e-02	test
Sox2-hU6@22138	 1.527e+00	 3.845019	7.359e+00	1.528e-02	test
Sox2-hU6@17722	 7.487e-01	 7.487348	7.330e+00	1.545e-02	test
Sox2-hU6@26129	-1.073e+00	 5.222370	7.328e+00	1.546e-02	test
Sox2-hU6@01755	 1.175e+00	 5.029340	7.326e+00	1.547e-02	test
Sox2-hU6@27211	 1.253e+00	 4.818945	7.314e+00	1.554e-02	negative
Sox2-hU6@05348	 8.094e-01	 6.966665	7.310e+00	1.556e-02	test
Sox2-hU6@23291	 1.732e+00	 3.599654	7.307e+00	1.558e-02	test
Sox2-hU6@11624	-1.189e+00	 4.738911	7.307e+00	1.558e-02	test
Sox2-hU6@20034	 1.398e+00	 4.180326	7.292e+00	1.568e-02	test
Sox2-hU6@23453	 1.085e+00	 5.635860	7.290e+00	1.570e-02	test
Sox2-hU6@15994	-1.277e+00	 4.964777	7.308e+00	1.573e-02	test
Sox2-hU6@24765	 1.482e+00	 6.208930	8.379e+00	1.575e-02	test
Sox2-hU6@15298	 1.285e+00	 5.311532	7.434e+00	1.575e-02	test
Sox2-hU6@01145	 8.772e-01	 6.682251	7.273e+00	1.579e-02	test
