logFC	logCPM	F	PValue	status
SIN3A@07922	 1.935e+00	 5.558640	6.732e+00	0.031380	test
SIN3A@06024	 1.691e+00	 6.833323	6.782e+00	0.031429	test
SIN3A@03701	 1.749e+00	 6.007002	6.741e+00	0.031810	test
SIN3A@13105	-3.212e+00	 4.380883	6.734e+00	0.031880	test
SIN3A@00355	-1.794e+00	 5.584980	6.618e+00	0.032488	test
SIN3A@05789	 1.922e+00	 5.675479	6.649e+00	0.032492	test
SIN3A@14056	-1.431e+00	 6.176753	6.607e+00	0.032597	negative
SIN3A@12852	 3.650e+00	 6.649053	6.647e+00	0.032727	test
SIN3A@02683	 2.346e+00	 5.304409	6.574e+00	0.033453	test
SIN3A@04096	 4.269e+00	 3.538756	6.569e+00	0.033503	test
SIN3A@08000	 1.412e+00	 9.307973	6.548e+00	0.033588	test
SIN3A@07877	 1.944e+00	 6.001227	6.561e+00	0.033591	test
SIN3A@00868	 2.092e+00	 5.896284	6.557e+00	0.033634	test
SIN3A@08180	 1.332e+00	 7.943023	6.463e+00	0.034358	test
SIN3A@03730	 3.119e+00	 4.371289	6.483e+00	0.034396	test
SIN3A@07561	 4.800e+00	 3.943859	6.478e+00	0.034450	test
SIN3A@07377	 2.368e+00	 6.016045	6.401e+00	0.035274	test
SIN3A@05134	 2.232e+00	 6.351641	6.398e+00	0.035301	test
SIN3A@08275	 2.524e+00	 5.343189	6.384e+00	0.035459	test
SIN3A@07794	 2.051e+00	 6.102996	6.382e+00	0.035482	test
SIN3A@07367	 1.734e+00	 6.405031	6.373e+00	0.035576	test
SIN3A@07489	 2.287e+00	 5.997540	6.359e+00	0.035726	test
SIN3A@08115	 2.090e+00	 5.694543	6.325e+00	0.036107	test
SIN3A@13651	 1.951e+00	 6.119562	6.321e+00	0.036148	test
SIN3A@13761	-1.898e+00	 5.437180	6.268e+00	0.036208	test
SIN3A@01637	 1.703e+00	 6.028095	6.313e+00	0.036244	test
SIN3A@11679	 2.304e+00	 5.316520	6.308e+00	0.036295	test
SIN3A@07917	 1.258e+00	 7.960663	6.253e+00	0.036378	test
SIN3A@03406	 3.044e+00	 3.947707	6.243e+00	0.036540	test
SIN3A@07704	 1.547e+00	 6.239997	6.274e+00	0.036550	test
SIN3A@00022	 3.530e+00	 4.824376	6.279e+00	0.036627	test
SIN3A@07835	 1.766e+00	 6.384962	6.234e+00	0.037139	test
SIN3A@07901	 1.704e+00	 7.047982	6.227e+00	0.037230	test
SIN3A@09732	 6.318e+00	 2.337922	6.219e+00	0.037318	test
SIN3A@14423	-3.131e+00	 4.431094	6.208e+00	0.037444	negative
SIN3A@13435	 1.640e+00	 6.276089	6.204e+00	0.037496	test
SIN3A@06328	 2.528e+00	 6.528365	6.189e+00	0.037673	test
SIN3A@11409	-4.984e+00	 2.408991	6.141e+00	0.037685	test
SIN3A@14414	-1.259e+00	 6.803917	6.108e+00	0.038082	negative
SIN3A@05685	 2.291e+00	 4.681354	6.102e+00	0.038158	test
SIN3A@00923	 1.658e+00	 7.240704	6.130e+00	0.038373	test
SIN3A@10628	-2.381e+00	 4.768844	6.080e+00	0.038422	test
SIN3A@00339	 2.365e+00	 4.974863	6.074e+00	0.038860	test
SIN3A@04991	 2.498e+00	 5.269173	6.079e+00	0.038999	test
SIN3A@12940	-5.057e+00	 2.944440	6.056e+00	0.039280	test
SIN3A@04148	-2.598e+00	 4.476267	6.013e+00	0.039397	test
SIN3A@08172	 1.398e+00	 6.973513	6.018e+00	0.039672	test
SIN3A@07926	 1.383e+00	 7.145077	6.022e+00	0.039692	test
SIN3A@08005	 2.012e+00	 7.185736	6.020e+00	0.039731	test
SIN3A@06470	 1.389e+00	 6.290001	5.972e+00	0.039777	test
SIN3A@07855	 2.513e+00	 4.962747	6.015e+00	0.039799	test
SIN3A@00781	 1.879e+00	 6.659633	6.013e+00	0.039821	test
SIN3A@02552	 2.014e+00	 6.060679	6.005e+00	0.039923	test
SIN3A@07957	 1.453e+00	 7.018501	6.004e+00	0.039938	test
SIN3A@07914	 1.843e+00	 6.813501	6.002e+00	0.039960	test
SIN3A@07997	 2.073e+00	 5.043622	5.931e+00	0.040306	test
SIN3A@12062	-3.859e+00	 3.146476	5.921e+00	0.040441	test
SIN3A@03544	 2.908e+00	 4.609334	5.963e+00	0.040456	test
SIN3A@08151	 2.236e+00	 5.821614	5.928e+00	0.040921	test
SIN3A@05889	 1.374e+00	 6.131602	5.873e+00	0.041072	test
SIN3A@08314	 1.676e+00	 6.445701	5.912e+00	0.041129	test
SIN3A@11053	-2.086e+00	 5.239274	5.873e+00	0.041225	test
SIN3A@12995	 2.856e+00	 3.791907	5.855e+00	0.041303	test
SIN3A@14075	-1.303e+00	 6.633272	5.843e+00	0.041473	negative
SIN3A@07956	 2.971e+00	 6.105434	5.878e+00	0.041578	test
SIN3A@04325	 1.651e+00	 6.294368	5.848e+00	0.041978	test
SIN3A@08937	 5.267e+00	 2.548134	5.829e+00	0.042238	test
SIN3A@12821	-1.822e+00	 5.479010	5.786e+00	0.042248	test
SIN3A@00017	 1.486e+00	 5.865787	5.783e+00	0.042286	test
SIN3A@13127	-3.309e+00	 3.984777	5.806e+00	0.042560	test
SIN3A@00425	 2.162e+00	 6.217256	5.799e+00	0.042655	test
SIN3A@02676	 1.825e+00	 5.388669	5.749e+00	0.042758	test
SIN3A@06115	-4.803e+00	 2.739339	5.780e+00	0.042768	test
SIN3A@05512	 2.343e+00	 6.015015	5.781e+00	0.042908	test
SIN3A@10141	 3.793e+00	 3.722155	5.771e+00	0.043039	test
SIN3A@11094	-1.509e+00	 5.851907	5.726e+00	0.043094	test
SIN3A@12167	-4.647e+00	 2.634607	5.729e+00	0.043203	test
SIN3A@04472	 2.473e+00	 5.516978	5.750e+00	0.043338	test
SIN3A@07843	 1.779e+00	 7.364952	5.745e+00	0.043404	test
SIN3A@09982	 1.259e+00	 6.414443	5.698e+00	0.043485	test
SIN3A@10587	 2.407e+00	 4.910584	5.702e+00	0.043888	test
SIN3A@02789	-3.376e+00	 3.441562	5.662e+00	0.044004	test
SIN3A@06846	-1.253e+00	 6.336198	5.645e+00	0.044258	test
SIN3A@04020	 2.305e+00	 5.227707	5.685e+00	0.044262	test
SIN3A@09576	 1.602e+00	 6.710507	5.682e+00	0.044309	test
SIN3A@01523	 2.782e+00	 3.903219	5.641e+00	0.044311	test
SIN3A@07870	 3.573e+00	 4.558458	5.660e+00	0.044629	test
SIN3A@01544	 2.956e+00	 5.318171	5.652e+00	0.044751	test
SIN3A@12918	-2.244e+00	 4.556177	5.610e+00	0.044778	test
SIN3A@11245	 1.740e+00	 6.183377	5.649e+00	0.044789	test
SIN3A@04259	-2.314e+00	 4.739787	5.584e+00	0.045234	test
SIN3A@12779	-1.937e+00	 5.140885	5.575e+00	0.045302	test
SIN3A@10598	-2.459e+00	 4.652139	5.598e+00	0.045365	test
SIN3A@05038	 3.650e+00	 4.499624	5.602e+00	0.045481	test
SIN3A@09482	 2.115e+00	 4.782599	5.556e+00	0.045590	test
SIN3A@11898	 2.697e+00	 4.153560	5.491e+00	0.046741	test
SIN3A@01145	 2.239e+00	 6.749334	5.517e+00	0.046786	test
SIN3A@07825	 2.376e+00	 4.860234	5.457e+00	0.047573	test
SIN3A@05638	 2.258e+00	 5.881014	5.459e+00	0.047691	test
SIN3A@11956	 2.198e+00	 6.161359	5.458e+00	0.047718	test
SIN3A@11745	 2.946e+00	 6.950423	5.451e+00	0.047831	test
SIN3A@08865	 1.958e+00	 5.378027	5.379e+00	0.048806	test
SIN3A@11979	 2.031e+00	 5.431506	5.374e+00	0.049072	test
SIN3A@13066	 2.595e+00	 5.544510	5.361e+00	0.049295	test
SIN3A@12912	-1.682e+00	 5.495890	5.309e+00	0.049551	test
SIN3A@11050	-3.380e+00	 4.085123	5.337e+00	0.049699	test
SIN3A@13148	-2.254e+00	 4.415524	5.297e+00	0.049750	test
SIN3A@07328	 1.639e+00	 6.834326	5.324e+00	0.049905	test
SIN3A@05335	 1.760e+00	 5.927826	5.318e+00	0.050009	test
SIN3A@10995	 5.713e+00	 1.819853	5.305e+00	0.050021	test
SIN3A@05636	 2.642e+00	 3.913834	5.275e+00	0.050126	test
SIN3A@07899	 1.636e+00	 5.707289	5.283e+00	0.050148	test
SIN3A@01565	-4.274e+00	 2.840705	5.300e+00	0.050155	test
SIN3A@04609	 2.568e+00	 5.481232	5.309e+00	0.050158	test
SIN3A@00330	 2.294e+00	 5.366276	5.300e+00	0.050326	test
SIN3A@06574	 2.218e+00	 7.241531	5.284e+00	0.050596	test
SIN3A@07626	 1.978e+00	 6.014431	5.277e+00	0.050721	test
SIN3A@10421	 1.651e+00	 6.877183	5.271e+00	0.050820	test
SIN3A@14357	-1.670e+00	 5.828001	5.248e+00	0.051220	negative
SIN3A@04048	-1.172e+00	 6.602442	5.205e+00	0.051348	test
SIN3A@07514	-1.755e+00	 5.389397	5.205e+00	0.051356	test
SIN3A@14199	-1.740e+00	 5.610116	5.222e+00	0.051390	negative
SIN3A@08181	 1.429e+00	 6.121297	5.218e+00	0.051578	test
SIN3A@03398	 2.401e+00	 4.578131	5.215e+00	0.051598	test
SIN3A@08008	 1.591e+00	 7.165826	5.202e+00	0.052031	test
SIN3A@01679	 1.548e+00	 6.002928	5.198e+00	0.052104	test
SIN3A@02782	 2.835e+00	 4.345329	5.194e+00	0.052164	test
SIN3A@00116	-2.418e+00	 4.330899	5.144e+00	0.052439	test
SIN3A@01053	 2.631e+00	 5.633842	5.174e+00	0.052519	test
SIN3A@06588	 1.495e+00	 5.968225	5.160e+00	0.052631	test
SIN3A@11401	-2.923e+00	 4.355849	5.165e+00	0.052691	test
SIN3A@13028	-1.899e+00	 5.265173	5.121e+00	0.052869	test
SIN3A@07713	 2.163e+00	 6.256106	5.150e+00	0.052965	test
SIN3A@02954	 3.064e+00	 3.441409	5.108e+00	0.053097	test
SIN3A@07890	 2.911e+00	 3.614174	5.102e+00	0.053210	test
SIN3A@07950	 1.150e+00	 7.369570	5.092e+00	0.053406	test
SIN3A@07199	 4.731e+00	 4.717947	5.114e+00	0.053616	test
SIN3A@12386	 2.090e+00	 5.452629	5.086e+00	0.054139	test
SIN3A@05817	 1.848e+00	 5.904792	5.086e+00	0.054146	test
SIN3A@11336	 2.047e+00	 6.595264	5.085e+00	0.054160	test
SIN3A@01219	 1.941e+00	 5.832457	5.070e+00	0.054445	test
SIN3A@00159	 1.353e+00	 7.003637	5.067e+00	0.054511	test
SIN3A@00679	 1.759e+00	 5.823311	5.044e+00	0.054932	test
SIN3A@00768	 3.248e+00	 3.181591	4.984e+00	0.055465	test
SIN3A@07365	 1.698e+00	 5.977365	5.005e+00	0.055681	test
SIN3A@02028	 1.514e+00	 6.765260	4.996e+00	0.055865	test
SIN3A@07919	 1.189e+00	 7.297737	4.972e+00	0.056043	test
SIN3A@07044	 1.538e+00	 5.607090	4.951e+00	0.056103	test
SIN3A@07883	 2.318e+00	 6.290039	4.981e+00	0.056163	test
SIN3A@13526	 1.351e+00	 5.899767	4.929e+00	0.056540	test
SIN3A@07822	 1.781e+00	 7.041040	4.961e+00	0.056546	test
SIN3A@10762	-2.496e+00	 4.595768	4.955e+00	0.056672	test
SIN3A@14349	-1.266e+00	 7.275543	4.951e+00	0.056742	negative
SIN3A@07977	 1.345e+00	 6.948720	4.947e+00	0.056824	test
SIN3A@07624	-2.117e+00	 5.121781	4.946e+00	0.056852	test
SIN3A@07287	 2.458e+00	 6.830892	4.930e+00	0.057172	test
SIN3A@06065	 1.528e+00	 5.619863	4.897e+00	0.057189	test
SIN3A@07839	 2.046e+00	 6.659320	4.923e+00	0.057317	test
SIN3A@04548	-1.285e+00	 6.027884	4.886e+00	0.057414	test
SIN3A@06896	 1.412e+00	 6.181195	4.911e+00	0.057550	test
SIN3A@07991	 1.942e+00	 5.615400	4.902e+00	0.057739	test
SIN3A@08423	 2.326e+00	 6.614334	4.898e+00	0.057826	test
SIN3A@07780	 1.539e+00	 5.926063	4.897e+00	0.057842	test
SIN3A@08182	 1.632e+00	 6.574441	4.880e+00	0.058192	test
SIN3A@07490	 2.160e+00	 5.992502	4.869e+00	0.058414	test
SIN3A@05580	 2.130e+00	 6.113958	4.867e+00	0.058451	test
SIN3A@01390	 2.439e+00	 4.519992	4.862e+00	0.058553	test
SIN3A@08570	 2.557e+00	 4.223737	4.848e+00	0.058685	test
SIN3A@04911	 1.764e+00	 5.799802	4.847e+00	0.058858	test
SIN3A@04486	-1.186e+00	 6.305929	4.815e+00	0.058888	test
SIN3A@09865	-1.884e+00	 5.098244	4.813e+00	0.058940	test
SIN3A@07897	 3.379e+00	 4.625293	4.835e+00	0.059123	test
SIN3A@07074	 1.165e+00	 6.625750	4.801e+00	0.059175	test
SIN3A@04118	 2.264e+00	 4.722519	4.817e+00	0.059325	test
SIN3A@09622	-2.249e+00	 4.260681	4.793e+00	0.059350	test
SIN3A@04335	 1.256e+00	 6.006893	4.792e+00	0.059366	test
SIN3A@03288	 2.795e+00	 5.013713	4.823e+00	0.059378	test
SIN3A@05988	 2.028e+00	 5.441271	4.815e+00	0.059543	test
SIN3A@04003	-2.103e+00	 4.684068	4.780e+00	0.059628	test
SIN3A@12869	-1.322e+00	 6.392560	4.801e+00	0.059796	test
SIN3A@05339	-1.968e+00	 5.011109	4.770e+00	0.059843	test
SIN3A@02143	 1.775e+00	 6.526371	4.795e+00	0.059958	test
SIN3A@02058	 1.534e+00	 6.883681	4.793e+00	0.060004	test
SIN3A@01036	-3.214e+00	 3.729052	4.774e+00	0.060408	test
SIN3A@12371	-2.204e+00	 4.563331	4.733e+00	0.060828	test
SIN3A@05624	-2.453e+00	 4.371749	4.747e+00	0.060842	test
SIN3A@14248	-2.333e+00	 4.692489	4.754e+00	0.060851	negative
SIN3A@12865	-1.730e+00	 5.569598	4.740e+00	0.060989	test
SIN3A@07302	 1.466e+00	 6.540362	4.747e+00	0.060992	test
SIN3A@11334	-3.225e+00	 4.050990	4.740e+00	0.061150	test
SIN3A@07909	 1.194e+00	 6.595530	4.688e+00	0.061812	test
SIN3A@07606	 2.118e+00	 5.989843	4.710e+00	0.061813	test
SIN3A@06916	-2.603e+00	 4.638116	4.699e+00	0.062064	test
SIN3A@08178	 1.315e+00	 7.452475	4.698e+00	0.062087	test
SIN3A@09798	 3.056e+00	 5.003944	4.695e+00	0.062148	test
SIN3A@12179	-1.813e+00	 5.074561	4.663e+00	0.062217	test
SIN3A@07729	 1.115e+00	 6.984923	4.660e+00	0.062284	test
SIN3A@02196	-1.170e+00	 6.208240	4.659e+00	0.062294	test
SIN3A@09594	 3.212e+00	 4.198355	4.682e+00	0.062451	test
SIN3A@12363	-2.725e+00	 4.897014	4.677e+00	0.062556	test
SIN3A@14433	-1.203e+00	 6.222324	4.647e+00	0.062577	negative
SIN3A@08142	 1.468e+00	 5.792284	4.654e+00	0.062581	test
SIN3A@10679	-1.631e+00	 5.619153	4.652e+00	0.062837	test
SIN3A@02635	 2.067e+00	 6.082488	4.664e+00	0.062845	test
SIN3A@00889	-1.317e+00	 6.492421	4.663e+00	0.062876	test
SIN3A@04110	 1.327e+00	 5.982105	4.614e+00	0.063327	test
SIN3A@07445	 1.349e+00	 5.880703	4.614e+00	0.063330	test
SIN3A@01046	 2.814e+00	 5.644475	4.638e+00	0.063444	test
SIN3A@08287	 1.157e+00	 6.368584	4.605e+00	0.063547	test
SIN3A@04992	 1.776e+00	 7.178289	4.633e+00	0.063558	test
SIN3A@01314	 1.532e+00	 6.046586	4.633e+00	0.063560	test
SIN3A@11445	-2.272e+00	 4.275491	4.601e+00	0.063621	test
SIN3A@08330	 1.973e+00	 5.537287	4.615e+00	0.063959	test
SIN3A@06335	-3.070e+00	 4.339524	4.610e+00	0.064087	test
SIN3A@07452	 1.520e+00	 6.761410	4.609e+00	0.064106	test
SIN3A@05119	-1.459e+00	 5.784578	4.583e+00	0.064217	test
SIN3A@05513	 1.194e+00	 6.418139	4.565e+00	0.064546	test
SIN3A@00764	 2.416e+00	 4.341476	4.577e+00	0.064702	test
SIN3A@12660	-3.225e+00	 4.137757	4.583e+00	0.064726	test
SIN3A@03470	 1.506e+00	 5.763184	4.566e+00	0.064839	test
SIN3A@02538	 2.848e+00	 5.060677	4.578e+00	0.064840	test
SIN3A@03643	-2.504e+00	 3.867296	4.549e+00	0.064855	test
SIN3A@12018	 1.901e+00	 6.161976	4.576e+00	0.064881	test
SIN3A@07502	 1.500e+00	 6.029547	4.569e+00	0.065052	test
SIN3A@07906	 3.265e+00	 4.820646	4.563e+00	0.065180	test
SIN3A@10517	 1.643e+00	 5.813015	4.562e+00	0.065225	test
SIN3A@08266	 2.005e+00	 5.460597	4.561e+00	0.065229	test
SIN3A@11945	 1.883e+00	 6.089492	4.558e+00	0.065321	test
SIN3A@06233	-3.166e+00	 3.941910	4.543e+00	0.065660	test
SIN3A@12734	-3.434e+00	 3.596953	4.541e+00	0.065704	test
SIN3A@08154	 3.337e+00	 4.662381	4.535e+00	0.065870	test
SIN3A@04854	 1.348e+00	 6.323103	4.535e+00	0.065870	test
SIN3A@12186	-3.142e+00	 3.374052	4.514e+00	0.065915	test
SIN3A@05174	-2.597e+00	 4.801100	4.528e+00	0.066018	test
SIN3A@14244	-1.263e+00	 6.540312	4.516e+00	0.066314	negative
SIN3A@08473	 1.740e+00	 6.171711	4.499e+00	0.066727	test
SIN3A@09616	-1.776e+00	 5.117601	4.461e+00	0.067003	test
SIN3A@07823	 1.511e+00	 6.317639	4.478e+00	0.067257	test
SIN3A@11748	-2.550e+00	 3.995004	4.452e+00	0.067504	test
SIN3A@08028	 1.542e+00	 6.806809	4.462e+00	0.067652	test
SIN3A@05365	 1.520e+00	 7.051164	4.460e+00	0.067700	test
SIN3A@10689	 1.567e+00	 5.771900	4.443e+00	0.068129	test
SIN3A@00532	-1.148e+00	 6.471833	4.398e+00	0.068583	test
SIN3A@07804	 1.591e+00	 5.334597	4.398e+00	0.068584	test
SIN3A@13062	-1.433e+00	 6.224841	4.412e+00	0.068911	test
SIN3A@11346	-4.493e+00	 2.343079	4.398e+00	0.069096	test
SIN3A@10402	 2.650e+00	 3.978544	4.397e+00	0.069114	test
SIN3A@08693	-3.133e+00	 3.898683	4.400e+00	0.069208	test
SIN3A@11897	 2.032e+00	 4.619203	4.373e+00	0.069229	test
SIN3A@10121	-1.810e+00	 5.108360	4.373e+00	0.069242	test
SIN3A@07135	 2.424e+00	 6.341924	4.397e+00	0.069292	test
SIN3A@09211	 2.161e+00	 6.287916	4.391e+00	0.069445	test
SIN3A@07778	 1.393e+00	 6.011614	4.384e+00	0.069616	test
SIN3A@13370	 1.439e+00	 6.155471	4.373e+00	0.069923	test
SIN3A@07410	 1.427e+00	 6.980784	4.359e+00	0.070272	test
