logFC	logCPM	F	PValue	status
SIN3A@07381	-3.067e+00	 3.45036	4.355e+00	0.068200	test
SIN3A@12164	-3.074e+00	 4.53603	4.359e+00	0.068319	test
SIN3A@08594	-3.022e+00	 3.68922	4.339e+00	0.068609	test
SIN3A@07997	 2.957e+00	 5.75179	4.365e+00	0.068634	test
SIN3A@07821	 1.942e+00	 8.93003	4.360e+00	0.068741	test
SIN3A@01435	 1.613e+00	 6.30009	4.354e+00	0.068905	test
SIN3A@03256	 1.361e+00	 6.58327	4.342e+00	0.069089	test
SIN3A@13737	-3.420e+00	 2.77060	4.330e+00	0.069126	test
SIN3A@04958	-3.296e+00	 3.54136	4.332e+00	0.069363	test
SIN3A@05724	-2.265e+00	 5.84447	4.325e+00	0.069678	test
SIN3A@09506	-3.298e+00	 3.38287	4.285e+00	0.070574	test
SIN3A@10849	-3.213e+00	 2.81196	4.258e+00	0.070765	test
SIN3A@10995	 3.865e+00	 0.02446	4.255e+00	0.070851	test
SIN3A@10911	-3.133e+00	 3.32294	4.250e+00	0.071000	test
SIN3A@03669	-2.980e+00	 3.56716	4.249e+00	0.071029	test
SIN3A@04182	-3.242e+00	 3.38450	4.259e+00	0.071070	test
SIN3A@06607	-3.441e+00	 3.07199	4.264e+00	0.071296	test
SIN3A@09412	-3.624e+00	 4.33932	4.246e+00	0.071802	test
SIN3A@06970	 1.546e+00	 6.70833	4.243e+00	0.071890	test
SIN3A@02834	 2.351e+00	 6.88588	4.231e+00	0.072223	test
SIN3A@02710	-2.909e+00	 3.98346	4.203e+00	0.072278	test
SIN3A@02919	 1.677e+00	 7.26424	4.224e+00	0.072411	test
SIN3A@00166	-3.210e+00	 3.25394	4.203e+00	0.072511	test
SIN3A@07850	 1.708e+00	 8.12761	4.216e+00	0.072634	test
SIN3A@08142	 2.152e+00	 6.28036	4.211e+00	0.072780	test
SIN3A@13141	 2.802e+00	 5.46020	4.209e+00	0.072826	test
SIN3A@05614	-3.085e+00	 4.28490	4.191e+00	0.072933	test
SIN3A@03786	-3.027e+00	 3.48633	4.169e+00	0.073265	test
SIN3A@13185	-2.695e+00	 4.90195	4.162e+00	0.073444	test
SIN3A@02556	-3.004e+00	 4.31291	4.154e+00	0.073727	test
SIN3A@08879	 1.293e+00	 6.86247	4.156e+00	0.073800	test
SIN3A@07791	 1.379e+00	 6.90526	4.170e+00	0.073927	test
SIN3A@07682	 1.573e+00	 6.14800	4.164e+00	0.074108	test
SIN3A@08035	 2.934e+00	 5.90335	4.152e+00	0.074453	test
SIN3A@08192	 1.656e+00	 7.65208	4.148e+00	0.074562	test
SIN3A@00662	 1.374e+00	 7.47687	4.122e+00	0.074683	test
SIN3A@07928	 1.348e+00	 6.46813	4.108e+00	0.075734	test
SIN3A@08937	 4.426e+00	 1.70295	4.107e+00	0.075765	test
SIN3A@06633	-2.276e+00	 5.40508	4.098e+00	0.075845	test
SIN3A@07696	 1.411e+00	 7.16952	4.103e+00	0.075879	test
SIN3A@01972	-2.919e+00	 4.28337	4.077e+00	0.075931	test
SIN3A@00647	 3.833e+00	 1.37595	4.092e+00	0.076189	test
SIN3A@14121	-1.209e+00	 6.64195	4.067e+00	0.076234	negative
SIN3A@05253	 3.136e+00	 5.33760	4.089e+00	0.076281	test
SIN3A@10246	-3.518e+00	 2.48313	4.077e+00	0.076633	test
