logFC	logCPM	F	PValue	status
SIN3A@07921	 1.9578873	 7.57734	4.891e+00	0.0512402	test
SIN3A@08019	 2.6018511	 6.74375	4.883e+00	0.0514034	test
SIN3A@08191	 1.4643405	 6.78773	4.881e+00	0.0514263	test
SIN3A@00764	 2.5697177	 4.74854	4.853e+00	0.0519092	test
SIN3A@01107	 4.1887685	 4.29671	4.838e+00	0.0522859	test
SIN3A@03631	-1.0993806	 6.40168	4.814e+00	0.0523142	test
SIN3A@14466	 4.5237279	 7.89752	4.817e+00	0.0527217	pos
SIN3A@07802	 1.6243739	 6.60189	4.808e+00	0.0529073	test
SIN3A@07834	 2.5690165	 6.59282	4.807e+00	0.0529173	test
SIN3A@10880	-2.5694722	 3.28323	4.766e+00	0.0533577	test
SIN3A@14452	-0.9805852	 6.52535	4.731e+00	0.0539630	negative
SIN3A@00894	-2.2879554	 3.13247	4.709e+00	0.0544225	test
SIN3A@07460	-2.2778389	 3.80571	4.700e+00	0.0546215	test
SIN3A@07997	 2.5813974	 5.74448	4.721e+00	0.0547163	test
SIN3A@07302	 1.3486033	 6.61948	4.713e+00	0.0548871	test
SIN3A@01679	 1.4251389	 6.08569	4.707e+00	0.0550301	test
SIN3A@07847	 2.0079704	 7.63370	4.700e+00	0.0551636	test
SIN3A@07950	 1.0683992	 7.44345	4.661e+00	0.0554672	test
SIN3A@07823	 1.3775541	 6.38780	4.665e+00	0.0559351	test
SIN3A@07865	 1.6772868	 7.17711	4.663e+00	0.0559711	test
SIN3A@07890	 3.2790297	 4.26009	4.653e+00	0.0561846	test
SIN3A@14465	 3.0797437	 9.43914	4.646e+00	0.0563562	pos
SIN3A@04090	 1.5160740	 6.28378	4.645e+00	0.0563801	test
SIN3A@07877	 1.7722102	 6.07684	4.641e+00	0.0564631	test
SIN3A@14462	 4.3647344	 8.91910	4.640e+00	0.0564826	pos
SIN3A@03160	 2.9562036	 5.35877	4.630e+00	0.0567090	test
SIN3A@07871	 2.3418807	 7.37453	4.616e+00	0.0570262	test
SIN3A@00017	 1.2856777	 5.87846	4.588e+00	0.0570848	test
SIN3A@02087	 1.5751141	 5.65503	4.586e+00	0.0571357	test
SIN3A@11053	-1.7479497	 4.99216	4.579e+00	0.0572921	test
SIN3A@07824	 2.4244461	 5.59707	4.601e+00	0.0573646	test
SIN3A@14463	 2.8527884	 9.96621	4.595e+00	0.0574932	pos
SIN3A@12779	-1.8169282	 4.83921	4.570e+00	0.0575087	test
SIN3A@08533	 1.4567650	 5.98289	4.593e+00	0.0575310	test
SIN3A@08013	 2.5850830	 7.45108	4.588e+00	0.0576575	test
SIN3A@03981	 3.4476234	 4.69641	4.561e+00	0.0582737	test
SIN3A@08693	-2.6486589	 3.52876	4.542e+00	0.0587056	test
SIN3A@03909	-1.0151810	 7.55481	4.486e+00	0.0594768	test
SIN3A@12745	-1.6933041	 5.33967	4.486e+00	0.0597211	test
SIN3A@13669	-2.6459879	 2.43720	4.453e+00	0.0602495	test
SIN3A@02330	 1.3843251	 5.99459	4.439e+00	0.0610900	test
SIN3A@07876	 1.0963111	 7.18820	4.402e+00	0.0615025	test
SIN3A@08094	 2.6761127	 4.44991	4.420e+00	0.0616366	test
SIN3A@00618	 1.9363103	 6.38274	4.413e+00	0.0618165	test
