gRNA	XR029	XR030	XR031	XR032	XR033	XR034	XR035	XR036	XR037	XR038	XR039	group
SIN3A@13431	967	1126	29	0	2	1435	1836	652	443	3090	318	test
SIN3A@13432	874	1714	260	107	14	1469	3526	1114	1397	3643	622	test
SIN3A@13433	12327	7513	3360	3812	4145	12434	12534	1899	3514	14549	2949	test
SIN3A@13434	2706	5292	895	893	972	3467	3603	180	998	524	2477	test
SIN3A@13435	2121	4129	802	461	532	1756	3194	3107	1818	7182	1486	test
SIN3A@13436	4661	2430	1650	1584	2010	6370	7308	1518	883	7221	2057	test
SIN3A@13437	671	1416	14	17	4	246	384	97	221	57	1	test
SIN3A@13438	2003	4280	299	85	53	827	4559	1501	937	9501	889	test
SIN3A@13439	3631	8786	505	63	28	2877	4804	4505	1609	15386	2714	test
SIN3A@13440	3413	2925	724	904	1193	1951	2205	1738	3106	5655	924	test
SIN3A@13441	3438	3272	849	853	877	4718	5352	2274	610	4860	1852	test
SIN3A@13442	3284	2395	1242	991	1253	3467	2435	862	782	4864	394	test
SIN3A@13443	278	3892	159	24	72	1396	1521	487	123	1414	476	test
SIN3A@13444	2476	3529	866	665	706	2498	3022	436	1344	407	2206	test
SIN3A@13445	3666	6365	657	406	487	3128	6247	1300	623	3683	1712	test
SIN3A@13446	2785	2819	962	928	1180	3438	5005	1096	797	7961	2248	test
SIN3A@13447	5229	2957	1572	1431	1873	4353	3931	610	513	3875	471	test
SIN3A@13448	3133	3475	1098	976	1006	2506	2034	880	683	7129	1045	test
SIN3A@13449	1316	3668	253	15	32	2027	6554	611	140	3199	1890	test
SIN3A@13450	3316	3877	922	824	948	3869	2813	1125	1841	10675	848	test
SIN3A@13451	4068	5071	774	555	667	5767	15133	952	1714	8706	3554	test
SIN3A@13452	6315	1239	1962	2556	3073	6834	4787	1134	516	6427	899	test
SIN3A@13453	376	1357	473	106	104	1857	2385	537	570	4955	852	test
SIN3A@13454	3638	3005	926	1114	1141	4065	3016	141	188	503	1480	test
SIN3A@13455	6557	5004	1465	1324	1511	4729	7365	1376	923	7386	1941	test
SIN3A@13456	1156	1605	316	54	26	483	1561	253	396	2966	685	test
SIN3A@13457	1548	1547	175	192	168	1294	3536	455	757	3115	2063	test
SIN3A@13458	4724	3596	1688	1495	1748	4115	2040	1009	635	3433	2193	test
SIN3A@13459	830	1103	82	7	33	846	2710	333	383	1262	721	test
SIN3A@13460	4115	3392	1131	1283	1507	4911	4286	1513	877	7255	1295	test
SIN3A@13461	4992	9188	852	805	841	5354	4542	2281	2253	5305	1602	test
SIN3A@13462	3287	2207	636	701	750	2242	4104	635	628	3094	1079	test
SIN3A@13463	6507	4404	1191	1254	1560	4016	5747	738	479	12492	1873	test
SIN3A@13464	3122	2599	466	657	644	2099	2663	1527	239	2872	1423	test
SIN3A@13465	3487	3397	908	807	826	3283	3485	1009	1047	3287	3124	test
SIN3A@13466	1562	4490	699	362	444	572	1423	674	363	258	435	test
SIN3A@13467	323	1488	128	26	34	455	1043	657	415	3366	715	test
SIN3A@13468	1665	1673	872	772	989	1911	2340	329	2114	1544	624	test
SIN3A@13469	2404	738	398	408	469	2582	2648	1558	955	1978	405	test
SIN3A@13470	3172	4785	566	99	75	2850	5354	604	1400	9512	1585	test
SIN3A@13471	10069	5557	3119	3718	4352	9355	9619	1380	505	5435	2212	test
SIN3A@13472	2099	3173	335	98	29	3737	2270	1436	612	16567	1146	test
SIN3A@13473	9586	5869	2441	2851	3209	8700	6102	3205	1586	10248	4373	test
SIN3A@13474	4903	3579	1634	1709	1966	5147	5016	1036	1186	4993	1208	test
SIN3A@13475	8188	4328	2030	1565	1842	6762	10601	1127	4375	8949	2582	test
SIN3A@13476	1788	1798	485	240	165	1798	1600	530	501	8219	1163	test
SIN3A@13477	7819	4664	2223	2824	3198	8846	6107	821	1274	6813	1736	test
SIN3A@13478	8877	6182	1968	2337	2798	5525	9554	2497	2592	7382	1289	test
SIN3A@13479	5772	7559	1381	1001	1068	2497	4203	574	752	6862	1491	test
SIN3A@13480	3230	4036	1756	552	525	3425	3777	2076	1442	12122	2727	test
SIN3A@13481	1580	2930	238	65	79	1916	3305	1161	1349	3567	943	test
SIN3A@13482	6842	2987	1987	2352	2771	6195	6620	1728	1901	3901	1883	test
SIN3A@13483	4032	3830	1144	1173	1332	4187	6329	381	385	10818	1675	test
SIN3A@13484	2490	4056	64	25	68	1111	1049	730	159	3249	784	test
SIN3A@13485	1494	1877	105	104	54	459	1419	501	210	1060	660	test
SIN3A@13486	6768	3554	1094	1081	1173	2726	5971	557	610	7837	1613	test
SIN3A@13487	3225	3601	929	807	995	3015	5213	1497	687	516	1550	test
SIN3A@13488	8250	5730	2900	3475	3964	8502	4830	1645	1541	6701	504	test
SIN3A@13489	1509	2549	426	589	590	2064	1149	991	1044	3156	1309	test
SIN3A@13490	4098	2795	122	156	124	346	1274	957	2396	9170	1217	test
SIN3A@13491	1525	3413	495	370	434	1422	2914	783	973	3821	298	test
SIN3A@13492	6853	5814	1897	1986	2291	8624	4312	469	1099	6557	1974	test
SIN3A@13493	4870	5061	1425	1061	1209	3818	2808	819	1257	725	923	test
SIN3A@13494	9210	12455	2048	2142	2217	8590	9421	1644	1520	8317	5447	test
SIN3A@13495	8948	5823	1257	1508	1647	6859	9554	2074	3190	3805	2426	test
SIN3A@13496	2025	4243	152	78	59	3970	3534	412	1434	4250	1160	test
SIN3A@13497	13561	11757	2941	3207	3582	10633	12630	2465	1643	16376	3772	test
SIN3A@13498	4870	4462	798	595	620	4193	7732	1551	1075	5798	2483	test
SIN3A@13499	12469	7907	2925	3548	4208	10546	11673	2061	1048	17526	3382	test
SIN3A@13500	11937	10401	3364	3273	3833	11950	9363	2099	1079	11048	3288	test
SIN3A@13501	7097	4979	2521	2974	3434	8013	6572	1684	1044	3442	3386	test
SIN3A@13502	594	1685	34	27	36	966	748	299	2470	531	1251	test
SIN3A@13503	3513	3295	815	810	981	2234	4321	232	675	11118	379	test
SIN3A@13504	1367	2155	342	33	8	1185	2851	598	411	7294	467	test
SIN3A@13505	5848	6344	688	637	608	3392	2550	1584	978	14552	2231	test
SIN3A@13506	459	1726	96	94	169	539	721	1145	354	5765	623	test
SIN3A@13507	1876	2570	215	206	302	2677	2739	36	238	163	840	test
SIN3A@13508	5969	4867	1994	2023	2592	5890	5695	1163	1471	8489	2070	test
SIN3A@13509	49	719	137	43	30	24	779	85	81	17	287	test
SIN3A@13510	12715	6015	3316	3644	4393	9439	9346	2111	1824	5061	3341	test
SIN3A@13511	5747	4931	1423	1514	1588	3841	2855	235	521	5096	854	test
SIN3A@13512	734	884	211	45	9	894	1870	1040	356	6879	754	test
SIN3A@13513	13463	9865	2322	2713	3155	9882	9577	1819	2101	10187	4254	test
SIN3A@13514	3253	3207	330	57	51	1013	1795	312	1187	5053	865	test
SIN3A@13515	1353	1756	97	26	14	2279	3004	979	794	7602	712	test
SIN3A@13516	1383	4095	454	287	444	2827	3790	396	2865	12999	1860	test
SIN3A@13517	1821	3810	444	307	304	3238	6423	764	462	12529	930	test
SIN3A@13518	1115	474	169	90	91	1761	1464	903	1558	13674	1849	test
SIN3A@13519	10310	6486	2007	2565	2859	9501	6917	1102	782	13557	2862	test
SIN3A@13520	5277	6406	483	337	310	2191	2724	2419	2361	11488	1052	test
SIN3A@13521	3147	3767	929	946	1081	3074	2979	487	1131	3578	1321	test
SIN3A@13522	262	2403	91	28	8	358	410	222	27	50	642	test
SIN3A@13523	3735	2589	1702	1435	1680	2952	2726	1350	1393	4916	740	test
SIN3A@13524	2065	920	547	635	701	2682	3788	578	712	406	1122	test
SIN3A@13525	2532	1361	258	247	291	2133	1616	1449	520	2923	158	test
SIN3A@13526	1916	1606	964	842	878	1548	2688	1761	198	2623	124	test
SIN3A@13527	1340	1771	320	106	146	887	5173	2340	472	2340	990	test
SIN3A@13528	2216	2065	349	424	505	2019	3296	54	73	124	122	test
SIN3A@13529	388	2164	51	68	41	1078	4732	229	2400	3916	994	test
SIN3A@13530	3025	3867	735	932	1008	2236	2927	511	178	5462	845	test
SIN3A@13531	4668	5178	929	802	931	3601	3955	443	278	9363	1265	test
SIN3A@13532	11430	9101	2756	2653	2722	7899	11191	3433	4127	25606	3769	test
SIN3A@13533	1644	3792	231	85	56	622	1506	714	310	5470	778	test
SIN3A@13534	10347	6785	3656	3961	5051	11390	9068	1818	1880	3493	2307	test
SIN3A@13535	3519	1689	1175	1715	1871	4406	3669	260	586	1587	1738	test
SIN3A@13536	2582	844	418	601	564	981	381	789	635	269	210	test
SIN3A@13537	2825	3366	173	92	64	1432	5939	1396	1038	4875	1056	test
SIN3A@13538	1281	1234	194	34	19	31	844	732	893	2030	343	test
SIN3A@13539	3152	2985	783	858	946	2572	2989	1256	1481	638	255	test
SIN3A@13540	1726	2771	245	145	124	1439	3525	604	375	5512	948	test
SIN3A@13541	601	500	10	33	12	927	2154	966	315	3300	515	test
SIN3A@13542	8196	4906	2400	2848	3506	6868	4741	1817	1110	4546	791	test
SIN3A@13543	3349	2196	852	1027	1275	3325	1626	311	671	2518	516	test
SIN3A@13544	2796	3383	230	57	55	1847	1201	647	321	1719	698	test
SIN3A@13545	3881	2229	563	628	922	2956	4093	5040	645	19284	1905	test
SIN3A@13546	1732	3591	268	91	70	1013	1460	2548	424	804	1241	test
SIN3A@13547	983	1560	32	27	24	406	3502	1937	442	1274	1225	test
SIN3A@13548	311	765	32	4	0	3	629	149	20	32	134	test
SIN3A@13549	2976	3550	664	691	769	1735	2307	619	137	6537	1089	test
SIN3A@13550	2596	5584	816	910	991	2388	1951	2314	634	3116	499	test
SIN3A@13551	2908	4468	1081	1407	1734	4287	4028	794	588	1226	1545	test
SIN3A@13552	8503	11956	2008	2111	2413	7804	10598	2058	886	26054	3603	test
SIN3A@13553	5481	7902	1569	939	1142	4540	8377	1199	1909	9855	3699	test
SIN3A@13554	3057	3891	290	70	189	2570	3892	1351	1417	7375	1782	test
SIN3A@13555	3154	2004	975	1174	1393	3367	2378	415	314	2996	320	test
SIN3A@13556	685	536	29	58	43	523	391	93	136	172	632	test
