gRNA	XR029	XR030	XR031	XR032	XR033	XR034	XR035	XR036	XR037	XR038	XR039	group
SIN3A@02036	7436	2299	1591	1889	2284	5782	4517	4631	1221	6184	1771	test
SIN3A@02037	1831	2600	643	626	721	1750	857	1339	318	2911	1207	test
SIN3A@02038	248	221	8	4	26	412	14	301	38	3393	458	test
SIN3A@02039	6365	8454	1957	1794	2425	6703	4789	1556	1970	9274	1860	test
SIN3A@02040	2238	4103	700	75	344	2854	1999	210	975	8255	1072	test
SIN3A@02041	2340	2553	168	132	240	2880	1843	1992	3298	6059	1571	test
SIN3A@02042	1039	2854	335	376	480	1629	1417	133	467	158	583	test
SIN3A@02043	590	1033	42	48	157	893	1229	1672	1324	5838	1848	test
SIN3A@02044	1917	2233	627	361	441	2835	3079	1470	3351	2455	451	test
SIN3A@02045	11438	8560	2914	3308	3723	11794	9508	2073	2375	5637	4155	test
SIN3A@02046	4692	2447	1354	1432	1838	3767	2786	291	1729	4733	1897	test
SIN3A@02047	3023	4729	944	941	1138	2754	1889	1120	1937	2215	2756	test
SIN3A@02048	1195	1690	503	65	117	1102	3017	863	1348	6104	1375	test
SIN3A@02049	836	2725	284	323	373	732	1615	564	704	5054	472	test
SIN3A@02050	6141	3730	1680	1596	2022	4798	2649	1585	577	7575	880	test
SIN3A@02051	1340	2807	146	102	63	777	3282	339	333	1428	555	test
SIN3A@02052	1589	4941	179	81	146	1470	529	1081	1647	1561	1087	test
SIN3A@02053	305	2691	49	20	155	1127	36	2018	1222	380	697	test
SIN3A@02054	5175	2746	1752	1768	2089	5088	5090	1374	1655	6816	2870	test
SIN3A@02055	2535	981	637	283	312	2767	3899	231	1158	514	1000	test
SIN3A@02056	3081	2269	653	717	882	2603	2047	573	1024	3366	1024	test
SIN3A@02057	3984	4300	582	628	720	3895	4242	2174	1458	4808	1754	test
SIN3A@02058	2987	6756	937	655	889	3223	3357	5003	1048	1482	3492	test
SIN3A@02059	9170	7068	3442	3440	3946	8268	6313	3311	4378	7611	807	test
SIN3A@02060	5179	2287	1139	941	1089	3002	5002	944	1342	7342	1815	test
SIN3A@02061	4033	3098	665	669	851	3907	1390	510	226	307	1171	test
SIN3A@02062	1579	1922	365	276	314	3096	1731	1025	681	2022	1461	test
SIN3A@02063	5884	2968	1786	2141	2208	5492	3227	1077	1029	8682	946	test
SIN3A@02064	2021	1351	132	58	32	506	2087	710	3245	4191	626	test
SIN3A@02065	3285	1767	726	1024	1110	2310	3153	1686	435	7811	668	test
SIN3A@02066	2890	4207	794	651	564	2571	1367	404	1753	734	982	test
SIN3A@02067	1088	4475	260	74	145	2754	3453	376	831	3958	2965	test
SIN3A@02068	1061	2136	43	68	46	82	729	110	25	31	664	test
SIN3A@02069	3484	2131	777	1011	1157	2857	3072	2120	390	2463	1037	test
SIN3A@02070	5760	4448	1223	975	1274	5488	7423	2680	3782	15350	3570	test
SIN3A@02071	1060	2659	106	78	208	1104	1591	1530	1767	5311	230	test
SIN3A@02072	959	3433	290	36	26	601	453	480	756	3280	948	test
SIN3A@02073	6461	4385	1703	1408	1707	4353	11675	3107	5197	9063	2472	test
SIN3A@02074	4956	6687	1298	1099	1365	3489	5725	3608	2688	5003	3143	test
SIN3A@02075	8482	5249	2562	2966	3542	9547	5005	1791	1027	8766	1325	test
SIN3A@02076	1991	2822	507	387	443	2062	2524	1802	881	7650	1632	test
SIN3A@02077	12160	9599	3564	3310	3951	8376	4785	1838	1393	6550	1726	test
SIN3A@02078	4331	2653	1306	1619	1860	5186	4243	1253	2553	4296	1399	test
SIN3A@02079	3136	2414	565	385	348	3562	5885	1171	1376	8739	2113	test
SIN3A@02080	4168	3874	1145	1205	1587	5465	2928	712	1981	4910	1784	test
SIN3A@02081	2084	2088	234	242	264	2515	4980	2328	2435	9805	1457	test
SIN3A@02082	4379	2061	1259	1156	1514	3183	2742	1604	557	3109	436	test
SIN3A@02083	3827	2537	1437	1109	1211	4817	2468	1092	1647	9339	1051	test
SIN3A@02084	1199	2307	222	75	97	2432	3641	597	1810	3666	871	test
SIN3A@02085	2307	4335	567	117	194	2394	6742	1114	555	6787	1465	test
SIN3A@02086	1257	1619	275	84	122	464	2068	285	2182	5064	1161	test
SIN3A@02087	1554	4276	760	419	418	756	1554	1356	1625	8494	748	test
SIN3A@02088	1172	1809	385	71	29	875	1851	576	124	4287	466	test
SIN3A@02089	5577	4673	1552	1655	2015	5193	5454	877	1097	10899	3441	test
SIN3A@02090	9133	9584	1915	1728	1953	5240	7703	998	1557	3126	2086	test
SIN3A@02091	2861	7276	305	34	30	3411	5886	3750	720	9803	2547	test
SIN3A@02092	2358	3220	388	116	171	1759	1167	2108	1754	493	2000	test
SIN3A@02093	3853	3326	1124	1287	1442	5807	3573	661	2695	15791	878	test
SIN3A@02094	6775	5701	1461	1723	2081	5297	5530	1614	1085	2468	3572	test
SIN3A@02095	2277	4793	578	138	244	496	3982	1770	1293	4141	2103	test
SIN3A@02096	3454	4656	747	915	1028	4700	4131	1861	1623	5487	1124	test
SIN3A@02097	2862	4483	162	64	74	577	1476	786	1581	7584	610	test
SIN3A@02098	5466	4271	1896	2166	2739	6247	2711	923	1074	720	535	test
SIN3A@02099	6707	7144	1677	1647	1733	4874	5966	1793	1003	9182	2178	test
SIN3A@02100	2030	1739	345	224	243	983	1589	501	1208	265	140	test
SIN3A@02101	2545	2936	916	757	799	2527	2809	1166	783	3808	1379	test
SIN3A@02102	3045	1867	420	423	537	3738	4108	932	986	1867	999	test
SIN3A@02103	2369	3020	256	67	110	4641	6515	2135	3612	14204	842	test
SIN3A@02104	7969	8063	3275	1940	2287	4447	11694	3414	3891	11400	1631	test
SIN3A@02105	690	2280	111	40	30	902	1712	380	436	109	794	test
SIN3A@02106	3191	5297	734	525	829	4125	6614	2541	2269	5143	1967	test
SIN3A@02107	2121	1720	787	924	1061	3312	6677	2182	1113	7633	2908	test
SIN3A@02108	3651	5181	844	792	945	2227	4325	1517	2462	3533	2334	test
SIN3A@02109	6450	8068	959	273	262	5260	8840	4308	3326	10997	2393	test
SIN3A@02110	7744	7455	1865	2044	2100	6618	4905	1637	1660	6151	2046	test
SIN3A@02111	1310	3144	180	38	39	154	3504	186	772	3886	850	test
SIN3A@02112	2707	3044	506	395	533	2714	3262	375	1865	4529	2103	test
SIN3A@02113	2859	3610	309	44	35	2038	5000	1956	1062	289	2839	test
SIN3A@02114	2234	3212	545	152	103	1862	3477	933	157	8201	1726	test
SIN3A@02115	5908	6259	931	961	930	5522	3137	1276	2488	3415	1901	test
SIN3A@02116	3768	4129	407	423	518	3474	6883	1874	1384	16608	3106	test
SIN3A@02117	4705	2543	1330	1545	1908	5169	4560	1748	924	7003	2316	test
SIN3A@02118	13533	11617	2975	2869	3063	10087	13731	6515	3179	30214	5366	test
SIN3A@02119	10882	8414	2239	2564	3027	12407	12097	6124	1764	11488	2683	test
SIN3A@02120	2513	1494	582	574	785	2068	3530	650	337	6039	953	test
SIN3A@02121	9307	7291	3355	3288	3982	11062	4202	1793	901	7398	1363	test
SIN3A@02122	1612	2063	619	254	316	1399	2639	386	1031	6773	921	test
SIN3A@02123	817	1699	371	83	99	1539	2355	1730	342	10939	1318	test
SIN3A@02124	4616	7414	1383	1250	1437	5591	2380	773	2290	9208	1565	test
SIN3A@02125	1784	2077	874	543	503	2070	1244	3593	2636	4577	1321	test
SIN3A@02126	1784	5638	201	57	34	3064	3505	2072	1559	1694	1461	test
SIN3A@02127	9702	6334	2765	2499	3140	9310	11500	1567	2203	12180	2326	test
SIN3A@02128	10218	7668	2855	3007	3775	9040	7245	3074	2782	5015	1822	test
SIN3A@02129	5721	4109	542	100	93	3016	5065	1352	1777	3097	2278	test
SIN3A@02130	3712	5611	321	222	229	3821	3846	1584	2592	5010	874	test
SIN3A@02131	2446	4495	574	149	137	2319	4210	1191	1974	11506	836	test
SIN3A@02132	1675	2679	763	670	607	2848	3773	1649	279	8483	1205	test
SIN3A@02133	8198	7334	2404	2720	3258	9783	11287	2484	3251	12032	3123	test
SIN3A@02134	5578	5915	1260	1238	1607	5116	4421	1359	3641	3860	2070	test
SIN3A@02135	5594	7469	1400	1088	1326	5500	4582	3380	2364	6699	2676	test
SIN3A@02136	3549	1208	959	1174	1369	3414	2788	114	126	445	796	test
SIN3A@02137	2812	5230	548	168	229	3055	5367	1206	1451	12421	3116	test
SIN3A@02138	4039	3256	785	750	874	2743	2672	1759	2281	5779	1718	test
SIN3A@02139	592	624	231	332	394	1248	1266	317	802	1862	18	test
SIN3A@02140	11782	6676	3745	4860	5706	11932	7379	1835	3445	7221	1933	test
SIN3A@02141	2793	2631	209	64	63	2354	5520	2581	2033	9018	2374	test
SIN3A@02142	4964	4448	1128	1233	1681	4310	5618	1729	1037	8318	1339	test
SIN3A@02143	2783	6541	588	246	415	1547	3593	4300	1527	2825	919	test
SIN3A@02144	3951	3305	870	865	969	2970	2321	834	1655	2369	1398	test
SIN3A@02145	4214	4268	1068	533	703	4662	8372	3865	3056	6623	2019	test
SIN3A@02146	3254	4182	988	756	914	2619	2716	1260	1314	3234	1290	test
SIN3A@02147	6538	4212	1811	2120	2543	5656	3673	1263	1420	3400	450	test
SIN3A@02148	1118	3660	288	107	68	2794	1886	1052	1080	3606	1120	test
SIN3A@02149	1690	2223	130	67	116	1229	4261	1280	1584	4108	733	test
SIN3A@02150	2319	1158	751	861	1086	2130	829	81	180	2423	49	test
SIN3A@02151	2345	3413	791	859	1021	2734	6667	1744	1306	2569	362	test
SIN3A@02152	10491	5824	3187	3450	4100	9364	8121	830	939	5553	1674	test
SIN3A@02153	4787	2306	1242	1569	1706	3583	2425	852	689	573	1126	test
SIN3A@02154	3655	2779	1024	1057	1273	4031	3642	701	174	8636	1398	test
SIN3A@02155	1136	679	304	55	11	2561	2489	14	45	1875	1048	test
SIN3A@02156	2787	3138	696	322	481	4979	5173	805	1122	8754	1626	test
SIN3A@02157	1147	1425	201	19	47	1110	1437	216	208	712	360	test
SIN3A@02158	1228	466	193	308	333	814	649	280	66	160	653	test
SIN3A@02159	947	365	307	355	374	1073	1744	313	57	1294	238	test
SIN3A@02160	151	1646	232	30	15	779	1325	1234	56	100	117	test
SIN3A@02161	1557	2196	463	534	403	1211	1877	485	168	3472	1313	test
SIN3A@02162	3471	4729	554	377	515	2402	3189	717	1367	7112	2078	test
SIN3A@02163	3745	3078	1121	1231	1344	3498	4075	1241	1199	3434	2890	test
SIN3A@02164	4318	2805	1081	1155	1428	2648	1787	2814	1013	2787	628	test
SIN3A@02165	1717	1797	205	98	25	722	1930	479	1457	3760	544	test
SIN3A@02166	1171	445	115	100	88	1245	2238	466	376	403	998	test
SIN3A@02167	1006	1571	190	111	93	805	2500	2369	1120	3307	537	test
SIN3A@02168	687	841	13	27	53	1138	2357	203	69	70	1670	test
SIN3A@02169	742	2379	47	48	57	1712	962	1214	983	3342	1505	test
SIN3A@02170	5014	5703	999	782	972	3988	8476	1647	1553	1728	2678	test
SIN3A@02171	4206	6212	475	257	307	3005	5994	1592	2137	10476	2418	test
SIN3A@02172	2709	4300	742	492	506	2642	7214	1166	832	6269	1586	test
SIN3A@02173	455	583	4	14	6	103	1241	260	1995	341	10	test
SIN3A@02174	1139	1102	86	0	21	731	377	323	261	67	117	test
SIN3A@02175	1912	3496	972	831	959	3196	4086	1331	1841	5516	1422	test
SIN3A@02176	10533	6447	2745	3036	3665	8456	7731	2671	2297	13901	2399	test
SIN3A@02177	1958	2488	95	41	69	1517	3922	300	1264	4164	1006	test
SIN3A@02178	442	808	74	7	2	554	461	210	450	137	169	test
SIN3A@02179	3618	2984	1222	1201	1418	4248	2089	699	1120	2568	963	test
SIN3A@02180	9	278	38	28	83	1146	38	4	58	55	0	test
SIN3A@02181	7032	4778	1157	1056	1285	5880	8145	2604	1589	780	2568	test
SIN3A@02182	2613	1256	316	285	294	1737	1951	1450	1421	9962	1172	test
SIN3A@02183	2238	1003	835	820	942	2820	3025	566	1622	551	660	test
SIN3A@02184	1065	2120	419	88	168	1174	3422	910	2594	5947	1151	test
SIN3A@02185	3627	3605	884	953	1025	3289	3773	1981	1701	8359	1162	test
SIN3A@02186	1424	2708	401	156	148	1102	1918	1790	629	9929	997	test
SIN3A@02187	5658	2096	1907	2322	2493	5619	3128	1530	1802	4656	910	test
SIN3A@02188	6948	6744	1403	1307	1690	4628	3478	1447	888	10193	1840	test
SIN3A@02189	8391	3321	2623	2842	3402	7808	3258	635	789	1187	1177	test
SIN3A@02190	3692	2022	1051	1152	1426	4095	2888	2727	1595	1698	668	test
SIN3A@02191	4301	3463	1357	1669	1970	4376	2484	836	543	3938	441	test
SIN3A@02192	4825	5327	1588	1622	1889	3764	1628	1381	2430	1470	1580	test
SIN3A@02193	2498	4166	482	495	506	2885	4913	2085	804	9228	1814	test
SIN3A@02194	1786	5157	469	112	159	2464	2505	1240	1411	3580	633	test
SIN3A@02195	838	865	272	23	11	641	1641	255	244	88	654	test
SIN3A@02196	5876	7913	583	464	445	4671	6574	836	2482	8439	3622	test
SIN3A@02197	687	1957	161	25	17	714	25	526	456	102	182	test
SIN3A@02198	2797	3229	483	501	705	2391	3348	580	794	3392	970	test
SIN3A@02199	7331	4898	1709	1965	2554	5242	4546	1406	649	17421	1594	test
SIN3A@02200	2965	2269	917	939	1183	2648	2128	588	1929	947	392	test
SIN3A@02201	1076	1626	88	27	32	1485	477	419	631	247	507	test
SIN3A@02202	3353	4545	936	829	929	3275	4213	2824	1451	13584	2511	test
SIN3A@02203	1831	3080	495	550	867	2173	5180	759	697	4433	841	test
SIN3A@02204	4303	3475	1192	1220	1386	3939	2938	1316	1509	1047	790	test
SIN3A@02205	391	1441	13	14	9	1592	852	249	334	875	14	test
SIN3A@02206	4903	983	1537	2079	2336	4885	1735	617	734	3512	611	test
SIN3A@02207	959	2110	122	66	26	354	1965	635	221	7895	1381	test
SIN3A@02208	357	1901	228	54	21	688	2492	1054	1638	2355	903	test
SIN3A@02209	631	1134	184	45	56	718	61	6	675	3124	334	test
SIN3A@02210	4336	3582	1513	1757	2124	5156	1999	1045	886	11271	1360	test
SIN3A@02211	1418	1734	544	490	520	864	778	321	506	1982	446	test
SIN3A@02212	12553	4797	3881	4297	5307	11521	6489	588	1110	25092	1503	test
SIN3A@02213	3463	4325	1198	1294	1383	3910	1958	275	1498	7301	1156	test
SIN3A@02214	1387	381	150	57	35	1308	79	160	671	308	59	test
SIN3A@02215	5564	7738	1087	1023	1206	3141	3164	3461	1081	8061	1378	test
SIN3A@02216	7266	3130	2191	2335	2865	6036	4074	1066	1227	2074	921	test
SIN3A@02217	516	723	133	3	44	726	1783	107	65	492	159	test
SIN3A@02218	6050	3930	1740	2054	2391	6708	4249	703	1904	8262	2269	test
SIN3A@02219	1675	1612	698	740	738	2400	1351	1511	568	3573	1037	test
SIN3A@02220	6044	2909	1613	1841	2341	5526	4977	934	953	9297	2865	test
SIN3A@02221	6221	5835	1932	1794	1938	5513	3760	713	1752	7078	2071	test
SIN3A@02222	481	1240	119	22	15	1262	2220	931	61	4364	1025	test
SIN3A@02223	5757	2853	1753	2158	2624	5191	4760	1125	784	3791	902	test
SIN3A@02224	2307	1732	808	870	971	1809	2532	1099	1068	2321	594	test
SIN3A@02225	733	1690	217	40	41	613	994	1688	950	2745	1119	test
SIN3A@02226	2764	1611	101	56	195	2451	354	3821	1680	4396	1035	test
SIN3A@02227	2032	2936	281	59	50	2415	3721	1139	1517	4801	442	test
SIN3A@02228	6484	7731	2131	2293	2770	7941	6868	2779	1921	6304	2713	test
SIN3A@02229	8313	9134	2145	1680	1785	7660	9756	3297	2843	6845	4547	test
SIN3A@02230	15878	9570	3000	3385	4209	13918	10555	1867	5392	13597	3185	test
SIN3A@02231	1196	2499	430	125	76	1118	1419	1118	1842	3628	280	test
SIN3A@02232	5031	3603	1142	1178	1441	3678	7699	3416	1024	3537	2086	test
SIN3A@02233	5916	5009	1869	1627	2032	5176	6262	3091	3272	3432	1146	test
SIN3A@02234	1836	1523	581	567	651	1410	2015	41	422	558	113	test
SIN3A@02235	3024	2623	193	251	198	1177	2937	1161	1013	1635	714	test
SIN3A@02236	2410	2400	569	604	704	3005	3642	1092	318	3833	415	test
SIN3A@02237	1747	1758	531	530	694	1246	1280	430	192	1227	439	test
SIN3A@02238	2188	3135	484	632	654	1443	479	232	100	3486	39	test
SIN3A@02239	1367	1865	284	243	286	2034	3796	1213	2511	12494	1420	test
SIN3A@02240	1555	2943	671	273	390	2178	3042	999	1148	3551	441	test
SIN3A@02241	2729	3336	965	1031	1239	2892	4268	1424	712	7814	1093	test
SIN3A@02242	6622	4299	1311	1303	1418	5724	4420	693	2043	9271	2018	test
SIN3A@02243	1729	1316	107	83	62	512	1285	935	352	3770	1422	test
SIN3A@02244	12878	11670	2806	3140	3633	10908	13713	4522	1926	16766	3776	test
SIN3A@02245	817	2725	225	59	119	936	2083	249	513	3218	1281	test
SIN3A@02246	948	958	342	77	52	1377	415	1343	441	1575	262	test
SIN3A@02247	1436	3345	204	72	39	1378	3799	1228	669	6328	1012	test
SIN3A@02248	13761	19032	5009	5092	5662	15151	15461	5056	5098	18209	3081	test
SIN3A@02249	7516	11365	2470	2600	2723	5846	3959	1308	687	6692	1351	test
SIN3A@02250	1114	2133	296	109	73	1290	469	2000	1110	496	364	test
SIN3A@02251	173	1669	120	76	82	410	89	817	1038	4476	561	test
SIN3A@02252	1557	610	317	60	29	960	1383	315	368	191	290	test
SIN3A@02253	2416	8018	585	226	82	2888	6621	2425	1992	7027	2530	test
SIN3A@02254	402	47	91	16	9	413	15	0	36	39	573	test
SIN3A@02255	7628	9874	1028	857	895	6462	7355	3108	2780	28816	2836	test
SIN3A@02256	649	915	252	65	85	538	1094	204	1240	4481	788	test
SIN3A@02257	1523	2323	243	120	94	2691	4278	441	378	6716	639	test
SIN3A@02258	1783	1007	303	351	372	586	2286	321	229	1438	165	test
SIN3A@02259	5652	4890	1236	962	1297	5014	3958	1659	2077	6911	2006	test
SIN3A@02260	5910	5115	907	713	886	4541	5220	555	1319	5548	1143	test
SIN3A@02261	1446	4738	936	89	64	2348	4140	649	529	2869	1389	test
SIN3A@02262	4685	4537	1041	923	1297	3576	9220	1555	1701	7584	1728	test
SIN3A@02263	1299	1773	395	60	65	591	2958	714	813	275	1504	test
SIN3A@02264	11914	8848	3603	4328	4859	10952	11611	2179	1452	17714	4043	test
SIN3A@02265	7938	11457	1459	1189	1176	6472	13183	2742	2393	21179	5250	test
SIN3A@02266	3014	3869	1100	1127	1456	4174	2731	1413	1260	6427	260	test
SIN3A@02267	1385	3260	176	22	23	939	53	286	455	1392	1181	test
SIN3A@02268	4672	4088	992	740	794	4323	4598	2572	1441	8588	1848	test
SIN3A@02269	1644	4227	448	83	186	1625	2585	1758	208	7293	952	test
SIN3A@02270	1535	808	355	537	518	1445	1310	555	1298	3934	790	test
SIN3A@02271	1963	4191	408	126	272	1270	892	946	526	7058	1253	test
SIN3A@02272	2245	1152	834	823	1016	2270	3849	1111	1305	2219	1777	test
SIN3A@02273	771	1460	118	27	16	949	1352	107	286	1293	519	test
SIN3A@02274	976	1049	197	200	305	571	3819	568	532	883	436	test
SIN3A@02275	138	14	26	2	8	341	12	0	377	71	167	test
SIN3A@02276	845	571	104	29	30	1646	2382	1971	246	4686	168	test
SIN3A@02277	1657	2547	78	19	22	1900	1202	1167	661	2096	489	test
SIN3A@02278	100	63	46	68	54	410	78	6	187	159	284	test
SIN3A@02279	3466	4302	976	964	1175	4025	4920	610	2384	10372	1867	test
SIN3A@02280	1171	573	72	6	83	107	737	225	351	6649	252	test
SIN3A@02281	1812	1917	180	24	47	386	218	616	313	78	7	test
SIN3A@02282	1846	3603	496	78	132	2224	4605	1375	2019	9646	1378	test
SIN3A@02283	4358	3724	1486	1696	2130	5116	4937	1579	2349	5441	1365	test
SIN3A@02284	2375	3156	596	743	913	3560	1895	436	254	378	952	test
SIN3A@02285	520	1961	198	265	302	1111	501	37	32	115	146	test
SIN3A@02286	328	613	181	19	67	1117	2063	561	366	192	214	test
SIN3A@02287	1203	1094	34	10	27	827	1538	630	2157	3071	2121	test
SIN3A@02288	4266	4272	1750	1745	1909	4055	5620	2375	1234	7489	1928	test
SIN3A@02289	3604	4175	645	920	1006	2994	3201	1293	2270	2312	525	test
SIN3A@02290	772	2203	274	36	63	244	1021	141	1009	7560	1218	test
SIN3A@02291	2066	1716	206	87	88	3849	3698	584	358	7447	669	test
SIN3A@02292	6957	5057	1633	1699	1901	5001	6532	483	1165	1509	2045	test
SIN3A@02293	1488	1974	412	446	551	1242	2399	722	1116	297	1055	test
SIN3A@02294	3480	6545	426	131	62	3638	8235	1019	1079	5642	2097	test
SIN3A@02295	772	1989	249	278	321	1313	3477	480	815	1404	579	test
SIN3A@02296	7411	4452	2339	1866	2233	6483	8991	906	1435	16059	2800	test
SIN3A@02297	2222	1549	148	18	43	709	3227	40	50	2641	105	test
SIN3A@02298	3343	1688	954	1218	1483	2917	3294	932	403	3486	1477	test
SIN3A@02299	2447	2902	935	900	986	3670	2074	185	272	3384	127	test
SIN3A@02300	2058	2454	628	96	112	2836	5422	1134	1074	6636	1601	test
SIN3A@02301	6424	6690	1041	687	651	3127	4719	1087	1245	594	1128	test
SIN3A@02302	2207	2483	270	53	44	1171	2677	140	582	2807	521	test
SIN3A@02303	3974	3979	579	145	149	2048	3814	1879	1215	11421	3007	test
SIN3A@02304	5480	4597	2121	2172	2692	7910	4641	945	2595	3933	1005	test
SIN3A@02305	3308	2122	790	780	861	1902	1327	2015	1426	563	402	test
SIN3A@02306	10482	6096	2867	3538	3992	9131	5023	1113	649	5883	1488	test
SIN3A@02307	2352	2469	537	468	472	3276	2458	505	1843	4059	1369	test
SIN3A@02308	648	191	99	89	282	375	840	758	209	363	129	test
SIN3A@02309	963	1571	269	95	82	1213	2322	138	600	2631	449	test
SIN3A@02310	1453	1088	440	423	426	1054	2506	59	112	3473	582	test
SIN3A@02311	5331	2530	1749	1682	2210	5038	3511	3016	1069	833	1061	test
SIN3A@02312	1422	1608	559	557	608	2114	2757	1600	787	361	602	test
SIN3A@02313	807	1452	135	57	63	609	2531	722	469	1149	1072	test
SIN3A@02314	1521	2733	619	440	462	2094	1879	729	624	201	89	test
SIN3A@02315	491	1008	72	29	120	1183	3520	820	869	3588	373	test
SIN3A@02316	6159	2051	1408	991	1155	3301	4503	144	379	12164	1077	test
SIN3A@02317	1418	1467	75	36	61	2554	2419	771	1520	2315	1670	test
SIN3A@02318	4754	3261	1751	1445	1379	3313	5197	230	1586	10006	1528	test
SIN3A@02319	8327	5905	2502	2268	2761	6273	9570	1184	1919	17236	1522	test
SIN3A@02320	3033	5180	1088	567	736	2123	2767	1302	763	3106	1396	test
SIN3A@02321	188	687	121	27	29	333	1456	391	246	3993	554	test
SIN3A@02322	1328	3962	534	598	631	2290	2245	1264	589	2160	1382	test
SIN3A@02323	2207	1483	961	1022	1145	3153	2649	1341	1988	2728	876	test
SIN3A@02324	341	1877	471	73	176	1832	1400	875	422	3632	1940	test
SIN3A@02325	541	354	23	12	32	300	1763	280	762	133	310	test
SIN3A@02326	289	202	183	53	54	476	395	85	523	4319	5	test
SIN3A@02327	371	270	77	7	12	115	1238	687	312	2790	184	test
SIN3A@02328	280	1054	290	55	24	403	1535	640	394	255	1384	test
SIN3A@02329	1159	3161	138	24	9	602	14	180	155	81	197	test
SIN3A@02330	1803	3704	877	594	629	1435	3029	1008	2643	1136	1122	test
SIN3A@02331	1613	1692	161	32	10	1759	2645	588	331	1305	1450	test
SIN3A@02332	1983	1632	459	347	423	914	214	99	919	3253	792	test
SIN3A@02333	4720	3357	1897	886	1227	2763	3144	696	1042	1780	1074	test
SIN3A@02334	3149	1436	208	25	68	806	1805	1029	1259	2890	857	test
SIN3A@02335	4508	3719	1239	1589	1677	6239	4336	1171	1853	6110	1994	test
SIN3A@02336	2034	1881	174	109	250	1292	2467	959	1255	5106	421	test
SIN3A@02337	4954	796	1431	1324	1853	5943	5201	702	554	4649	792	test
SIN3A@02338	1706	3304	83	19	25	1614	761	767	650	5741	499	test
SIN3A@02339	302	1096	23	2	0	315	342	238	58	1097	1	test
SIN3A@02340	4065	1994	877	779	1053	3870	2803	5015	1325	1716	2002	test
SIN3A@02341	6389	3542	2004	2334	2852	9992	6687	1428	1384	8083	1962	test
SIN3A@02342	965	658	81	35	199	879	576	1560	417	177	70	test
SIN3A@02343	5681	5349	1837	1776	2221	4945	4379	1698	1643	5358	456	test
SIN3A@02344	747	738	75	50	22	393	805	343	582	132	10	test
SIN3A@02345	2899	1811	862	990	1114	3000	6299	396	303	2056	1919	test
SIN3A@02346	669	678	35	19	7	517	24	340	101	104	395	test
SIN3A@02347	1783	2128	577	544	613	2377	1608	753	455	335	922	test
SIN3A@02348	10823	4408	3306	4157	4869	11502	6503	1691	1513	8030	1161	test
SIN3A@02349	1794	1295	218	90	63	703	1663	1564	796	4117	1422	test
SIN3A@02350	359	629	152	156	189	397	237	154	1014	265	189	test
SIN3A@02351	2539	3158	897	943	1023	2876	1101	735	723	5167	1201	test
SIN3A@02352	1057	1773	57	37	11	1680	1801	452	418	10555	1034	test
SIN3A@02353	6275	5159	2022	1983	2304	5191	6868	3318	2864	9061	1767	test
SIN3A@02354	3301	6951	1421	471	510	2618	8345	1771	1968	4784	1555	test
SIN3A@02355	6901	7759	1264	821	1220	3572	6031	2854	3149	10268	1697	test
SIN3A@02356	7698	4536	2562	2934	3480	7489	3239	775	711	2391	1771	test
SIN3A@02357	8328	9739	2276	2085	2452	11081	8724	3985	1356	15635	3337	test
SIN3A@02358	4086	4861	944	778	1007	3003	1655	563	991	3427	556	test
SIN3A@02359	309	2800	228	38	16	390	1982	564	718	3576	1182	test
SIN3A@02360	2265	3873	665	136	79	1610	3671	440	1513	2035	1939	test
SIN3A@02361	1828	985	131	26	17	926	3145	1128	357	128	41	test
SIN3A@02362	2172	3038	753	723	817	2707	2707	458	1155	3501	1179	test
SIN3A@02363	1144	3180	313	16	35	1073	2457	207	1710	1276	226	test
SIN3A@02364	1208	1209	107	29	34	1184	3240	360	149	2043	417	test
SIN3A@02365	4033	4953	1638	1454	1750	6399	4848	1968	649	2153	629	test
SIN3A@02366	23062	11476	5484	6699	7598	18973	13921	1864	3811	35071	5292	test
SIN3A@02367	2414	2377	793	892	1114	2437	1101	180	122	5615	145	test
SIN3A@02368	3670	3420	1744	1401	1625	3152	4026	439	2135	1717	581	test
SIN3A@02369	598	1008	256	327	392	1280	1892	538	955	1618	767	test
SIN3A@02370	1097	2686	242	37	9	218	3080	738	191	6348	917	test
SIN3A@02371	3915	4514	910	778	1004	5166	6263	1244	1599	5955	1612	test
SIN3A@02372	2486	2141	1029	1151	1385	3227	1332	1149	933	6288	586	test
SIN3A@02373	7360	4794	1720	1911	2317	6254	4539	1461	2035	5486	1481	test
SIN3A@02374	1655	3252	172	87	100	3515	5674	2820	498	5274	2523	test
SIN3A@02375	2345	4214	192	50	51	2054	2641	855	725	3179	1531	test
SIN3A@02376	6752	10523	1836	2001	2340	5471	5177	1406	3882	11650	1760	test
SIN3A@02377	4355	2049	1088	1332	1571	4276	3521	520	219	2796	1131	test
SIN3A@02378	2908	2105	214	81	147	3659	3586	147	3954	6940	915	test
SIN3A@02379	2404	1913	285	77	63	1064	937	392	221	1843	330	test
SIN3A@02380	5885	2356	1339	1541	1793	3546	3704	386	1942	3877	994	test
SIN3A@02381	2600	1329	780	819	1078	2882	5042	101	147	2071	333	test
SIN3A@02382	8691	6803	2436	2624	2923	8702	3662	1403	1058	6590	2450	test
SIN3A@02383	1058	477	84	83	62	541	2918	388	268	1483	402	test
SIN3A@02384	2160	2438	254	107	76	926	1863	3039	758	2132	1261	test
