oligo	XR043	XR044	XR045	XR046	XR050	XR051	XR052	XR054	group
SIN3A@03813	283	291	1626	891	400	182	2	377	test
SIN3A@03814	90	60	4	1	296	134	438	2718	test
SIN3A@03815	502	751	2907	2639	1344	658	2003	987	test
SIN3A@03816	141	43	0	30	574	289	149	306	test
SIN3A@03817	514	367	989	1023	1589	750	1421	1476	test
SIN3A@03818	431	458	1239	853	935	435	1552	597	test
SIN3A@03819	0	1	3	2	1	0	0	0	test
SIN3A@03820	453	387	579	371	987	393	380	708	test
SIN3A@03821	23	11	1	1	20	11	4	2	test
SIN3A@03822	346	188	21	374	342	145	54	221	test
SIN3A@03823	542	484	9	224	171	96	108	200	test
SIN3A@03824	140	110	35	0	328	163	72	726	test
SIN3A@03825	301	285	55	322	865	362	1442	1402	test
SIN3A@03826	435	480	200	639	32	28	1	0	test
SIN3A@03827	91	71	4	0	282	83	512	497	test
SIN3A@03828	615	429	87	323	670	320	457	315	test
SIN3A@03829	82	17	22	47	185	71	277	96	test
SIN3A@03830	684	857	40	505	288	153	46	339	test
SIN3A@03831	29	13	0	0	580	313	379	480	test
SIN3A@03832	1	14	1	115	103	46	3	333	test
SIN3A@03833	362	535	28	399	431	124	219	139	test
SIN3A@03834	74	41	0	349	30	21	1	1	test
SIN3A@03835	229	36	9	0	157	117	48	130	test
SIN3A@03836	906	740	3119	2008	838	483	686	712	test
SIN3A@03837	201	31	12	170	154	105	136	197	test
SIN3A@03838	69	142	0	0	241	109	40	99	test
SIN3A@03839	510	213	623	335	812	305	259	531	test
SIN3A@03840	493	757	26	463	531	283	253	351	test
SIN3A@03841	248	72	1	1	200	129	84	275	test
SIN3A@03842	102	61	37	19	331	50	0	30	test
SIN3A@03843	449	460	845	727	323	197	358	690	test
SIN3A@03844	545	714	357	556	157	122	2	0	test
SIN3A@03845	412	298	68	23	366	118	600	439	test
SIN3A@03846	236	515	18	305	459	183	480	403	test
SIN3A@03847	346	285	36	0	811	436	285	371	test
SIN3A@03848	596	304	1010	534	236	164	181	208	test
SIN3A@03849	405	424	76	369	530	159	5447	247	test
SIN3A@03850	660	632	29	316	112	50	1	325	test
